CHELTENHAM-SEWAGE-WORKS (HATHERLY SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,
Grid ref,SO926215,Long,-2.108937,Lat,51.892002,Elevation,172,ft,,,,,,,,,,,,
Station no,RR6993,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,3.71,2.15,4,1.18,1.23,,,,,,,,
February,,,,,,,,1.23,0.96,2,0.96,0.85,,,,,,,,
March,,,,,,,,1.5,0.47,0.78,1.04,1.01,,,,,,,,
April,,,,,,,,1.42,0.63,1.14,0.52,2.38,,,,,,,,
May,,,,,,,,1.5,1.23,2.3,0.42,1.32,,,,,,,,
June,,,,,,,,1.23,0.12,1.33,0.81,2.66,,,,,,,,
July,,,,,,,,1.9,0.32,0.4,1.27,3.1,,,,,,,,
August,,,,,,,,1.64,2.73,0.78,1.35,2,,,,,,,,
September,,,,,,,,1.65,2.84,3.72,1.15,4.91,,,,,,,,
October,,,,,,,,2.55,1.39,1.31,2.35,0.9,,,,,,,,
November,,,,,,,,0.59,1.76,1.67,1.78,0.46,,,,,,,,
December,,,,,,,,1.44,3.08,3.15,1.36,1.71,,,,,,,,
Total,,,,,,,,20.36,17.68,22.58,14.19,22.53,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
