CHELTENHAM-SEWAGE-WORKS (CHELT SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,
Grid ref,SO915217,Long,-2.1249262,Lat,51.893784,Elevation,169,ft,,,,,,,,,,,,
Station no,RR6994,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,2.34,1.62,3.04,1.08,0.85,3.97,2.93,2.75,4.92,,,,
February,,,,,,,,1.06,0.6,1.79,0.71,0.72,2.55,1.19,2.17,1.76,,,,
March,,,,,,,,1.3,0.51,0.95,0.89,0.72,2.13,2.58,1.1,0.88,,,,
April,,,,,,,,1.16,0.55,1.13,0.49,2.05,1.87,1.26,1.26,2.78,,,,
May,,,,,,,,1.35,1.36,3.25,0.66,1.57,1.64,2.63,1.09,2.25,,,,
June,,,,,,,,1.3,0.07,1.33,0.79,2.32,3.5,1.45,0.81,2.52,,,,
July,,,,,,,,1.54,1.53,0.39,1.51,2.87,5.74,2.51,0.92,5.65,,,,
August,,,,,,,,1.66,2.36,0.8,1.35,1.74,3.35,3.22,2.03,1.12,,,,
September,,,,,,,,1.49,2.15,3.79,1.06,4.27,1.87,1.31,4.39,2.9,,,,
October,,,,,,,,2.18,1.44,1.24,2.12,0.88,3.87,2.08,2.42,7.1,,,,
November,,,,,,,,0.54,1.47,1.82,1.55,0.42,5.82,1.46,2.66,5.45,,,,
December,,,,,,,,1.31,2.72,2.75,1.28,1.42,3.3,0.77,1.57,1.07,,,,
Total,,,,,,,,17.23,16.38,22.28,13.49,19.83,39.61,23.39,23.17,38.4,,,,
