NORTH UIST (NEWTON),,,,,,,,,,,,,,,,,,,,
Grid ref,NF 89038 77286,Long,-7.21862,Lat,57.67754,Elevation,41,ft,,,,,,,,,,,,
Station no,5765/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,6.05,3.98,2.75,5.25,7.92,4.33,1.85,0.86,4.09,5.5,6.74,,7.43,2.33,5.38,5.71,3.83
February,,,,1.94,4.28,1.88,4.35,4.05,6.06,2.04,2.78,3.04,4.47,,,4.56,0.07,4.18,5.33,3.57
March,,,,2.97,3.07,2.2,1.4,5.03,3.63,2.75,1.33,1.54,2.36,,,2.37,1.44,3.12,4.4,5.42
April,,,,2.96,2.61,1.38,1.76,0.71,3.56,2.98,1.35,1.55,2.83,,,2.15,5.34,3.1,3.95,3.52
May,,,,2.83,0.2,2.23,3.23,3.96,1.91,1.74,0.95,1.73,2.51,,,0.68,2.5,1.62,2.88,1.52
June,,,,2.37,2.92,1.27,2.35,4.55,2.28,2.53,0.93,1.79,3.55,,,5.35,2.87,3.27,1.25,2.07
July,,,2.54,4.16,2.1,2.2,2.38,2.84,5.97,3.07,3.97,3.57,4.14,,,3.87,3.9,3.35,1.69,7.55
August,,,6.63,4.62,3.93,4.77,3.77,3.12,2.26,3.72,5.01,5.15,3.94,,1.51,4.43,0.42,4.72,4.64,4.82
September,,,0.66,7.32,5.49,4.47,5.42,5.76,3.75,3.53,1.91,5.21,5.11,,4.99,5.69,6.96,7.32,2.42,9.04
October,,,4.09,5.8,7.99,5.26,2.79,10.51,1.44,4.33,3.65,5.66,8.96,,1.87,0.67,2.72,6.72,6.23,
November,,,2.46,2.32,4.24,3.43,2.34,7.49,6.05,7.46,5.26,3.43,5.65,,1.69,5.51,5.09,4.83,3.66,
December,,,2.92,5.53,3.11,9.18,3.04,5.48,4.18,5.38,2.86,7.87,2.82,,5.85,6.05,3.42,6.12,6.41,
Total,,,,48.87,43.92,41.02,38.08,61.42,45.42,41.38,30.86,44.63,51.84,,,48.76,37.06,53.73,48.57,
,,,,,,,,,,,,,,,,,,,,
Station no,5765/7,,,,,,,,,,,,,,,,,,,
Midas,14247,,,,,,,,,,,,,,,,,,,
Hyd Stn,735345,,,,,,,,,,,,,,,,,,,
