"DUNBAR, BELHAVEN HILL",,,,,,,,,,,,,,,,,,,,,
Grid ref,NT664784,Long,-2.5402686,Lat,55.997369,Elevation,20,ft,,,,,,,,,,,,,
Station no,5098,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.15,2.25,1.58,2.63,1.03,1.19,2.24,1.48,0.86,1.08,,2.96,,,,
February,,,,,0.75,3.16,2.67,0.88,1.64,1.07,1.62,1.54,0.31,1.91,0.01,,2.36,,,,
March,,,,,0.62,2.17,0.68,1.8,2.64,0.25,2.05,1.09,2.63,1.11,3.38,,3.09,,,,
April,,,,,0.48,2.11,1.45,1.06,0.81,1.54,0.79,1.89,1.35,2.05,3.7,,,,,,
May,,,,1.49,4.47,3.3,2.3,1.67,1.32,1.29,0.63,2.85,2.06,0.51,1.99,,,,,,
June,,,,0.94,1.49,0.94,2.44,2.87,4.22,1.51,0.95,3.72,1.11,1.15,2.21,,,,,,
July,,,,1.28,3.92,2.42,4.31,2.8,2.11,1.92,4.18,2.84,2.38,2.6,3.38,,,,,,
August,,,,3.71,2,1.98,1.91,5.7,3.22,3.81,4.63,3.52,0.45,1.28,,,,,,,
September,,,,1.26,3.16,3.93,4.22,5.58,1.55,0.19,3.76,1.2,2.19,0.81,,,,,,,
October,,,,1.68,3.93,1.42,3.49,3.05,2.26,2.04,1.24,1.58,5.23,2.75,,,,,,,
November,,,,2.68,1.53,1.46,3.02,2.38,2.69,2.43,3.31,2.55,1.5,2.7,,,,,,,
December,,,,,2.15,2.4,0.52,2.99,1.52,3,1.31,0.51,1.57,1.88,,,,,,,
Total,,,,,,26.44,29.26,32.36,26.61,20.08,25.66,25.53,22.26,19.61,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1924 Jan and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,
