"WATFORD COURT",,,,,,,,,,,,
Grid ref,SP602690,Long,-1.118307,Lat,52.315814,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.94,0.83,1.06,2.14,2.85,0.92,4.13,0.65,0.78,1.12,,
February,3.94,1.24,1.43,1.34,3.43,0.69,2.14,1.14,0.86,0.73,,
March,0.67,1.76,1.58,3.51,1.41,2.91,1.44,1.16,3.11,2.84,,
April,0.58,2.19,2.06,2.34,1.02,1.64,0.50,2.38,2.80,1.91,,
May,1.20,1.30,2.62,3.39,1.84,0.54,1.76,4.10,2.07,1.36,,
June,3.50,1.04,2.87,3.38,0.66,3.54,4.81,1.66,1.25,3.52,,
July,1.61,4.94,1.46,2.83,2.28,0.76,0.69,2.62,2.84,3.11,,
August,4.87,1.72,3.31,4.05,2.74,3.22,1.14,2.51,2.89,2.50,,
September,0.53,1.48,1.58,2.51,2.04,2.13,1.20,0.76,1.80,2.84,,
October,2.36,1.27,2.49,7.23,0.74,1.20,4.58,4.76,1.16,3.33,,
November,2.50,1.02,2.67,2.76,1.41,3.26,3.59,2.15,1.03,0.55,,
December,4.48,3.85,1.15,1.10,1.66,0.90,2.22,3.18,1.78,3.69,,
Total,30.18,22.64,24.28,36.58,22.08,21.71,28.20,27.07,22.37,27.50,,
Calc annual,30.18,22.64,24.28,36.58,22.08,21.71,28.20,27.07,22.37,27.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
