"WASHINGTON (GLEBE MODERN SCHOOL)",,,,,,,,,,,,
Grid ref,NZ314561,Long,-1.511908,Lat,54.898649,,,,,,,
Station no,3548,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.41,1.05,0.66,2.42,1.67,1.45,,1.05,2.24,,,
February,2.34,0.49,1.50,3.30,1.97,1.58,,2.87,0.86,,,
March,3.12,1.31,0.02,1.12,1.41,1.57,,2.88,0.95,,,
April,1.30,2.03,2.16,0.33,0.55,1.00,,1.86,1.63,,,
May,4.69,1.68,2.07,2.78,1.95,0.61,,2.58,0.54,,,
June,1.42,1.28,1.90,2.14,3.66,4.65,,2.39,4.37,,,
July,2.33,0.72,1.66,1.65,1.11,2.46,,1.53,3.97,,,
August,4.83,1.75,4.30,4.95,2.74,7.06,,,1.29,,,
September,0.98,3.30,1.67,1.91,0.53,2.10,,1.14,0.68,,,
October,1.58,3.03,1.87,3.70,1.63,0.88,,1.13,1.43,,,
November,5.95,3.76,1.15,3.34,1.55,1.05,,0.50,4.79,,,
December,1.68,2.03,0.84,1.91,2.40,1.75,,3.88,3.30,,,
Total,31.63,22.43,19.80,29.55,21.17,26.16,,,26.05,,,
Calc annual,31.63,22.43,19.80,29.55,21.17,26.16,0.00,21.81,26.05,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,0.00,NaN,,
