"THORNEY TOLL (ELM TREE FARM)",,,,,,,,,,,,
Grid ref,TF353026,Long,-0.003520,Lat,52.604344,,,,,,,
Station no,1220/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.31,1.48,1.15,1.06,1.95,3.76,0.99,2.01,2.75,2.86,,
February,2.67,0.40,1.83,2.66,2.11,0.83,2.41,2.65,0.17,1.25,,
March,3.11,3.07,0.59,2.32,1.82,0.50,1.75,1.20,1.71,1.50,,
April,2.58,1.28,1.78,0.61,0.76,0.86,0.21,0.66,1.04,0.24,,
May,3.26,1.88,1.43,2.84,3.18,0.81,1.15,2.30,0.52,0.56,,
June,0.78,1.07,3.96,1.73,2.04,2.33,1.53,4.17,0.28,1.93,,
July,0.71,0.34,2.30,2.52,0.08,3.26,2.11,2.36,2.48,2.37,,
August,3.88,2.08,2.44,5.34,1.16,4.39,1.33,3.03,1.39,1.92,,
September,1.75,2.60,0.92,1.34,1.52,1.70,3.82,2.92,0.02,2.13,,
October,0.95,2.12,2.70,2.48,1.74,1.08,0.81,1.61,1.33,4.40,,
November,2.62,2.51,1.47,4.51,0.79,0.55,1.72,1.26,1.16,3.50,,
December,1.46,1.99,0.78,2.00,1.20,1.55,1.82,2.07,4.03,3.88,,
Total,26.08,20.82,21.35,29.41,18.35,21.62,19.65,26.24,16.88,26.54,,
Calc annual,26.08,20.82,21.35,29.41,18.35,21.62,19.65,26.24,16.88,26.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
