CRATHORNE HALL GARDENS NR YARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ446085,Long,-1.31335,Lat,54.469916,Elevation,185,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,0.37,1.16,0.78,2.41,3.06,1.59,2.46,0.53,2.94,2.08,2.19,2.53,1.06,3.24,3.17,1.37,1.03,1.47,1.28,2.14,1.75,3.07,2.36,3.22,1.95,1.38,2.27,1.06,2.25,2.87,2.44,2.33,4.2,1.92,3.23,1.88,2.78,1.49,4.98,1.22,1.17,4.59,0.65,1.09,1.94,2.05,1.01,2.33,1.91,2.45,1.65,1.65,2.56,3.79
February,,,,,,,,1.22,2,1.3,1.28,0.8,1.44,2.42,2.83,0.6,1.68,1.35,2.38,0.93,1.1,0.2,1.3,2.68,1.43,2.71,1.46,0.9,1.25,0.63,1.35,1.23,0.88,3.98,0.59,2.93,2.91,2.78,1.62,1.05,1.49,5,1.33,0.63,1.82,1.64,0.68,1.99,0.86,0.45,3.17,2.09,0.35,1.95,1.58,1.67,2.05,2.01,2.92,0.61,2.21
March,,,,,,,,0.85,2.35,3.28,2.4,2.49,1.59,1.18,2.91,1.68,1.03,2.64,0.6,1.91,2.85,1.27,2.16,0.97,1.22,1.65,0.89,2.26,1.94,0.14,2.92,0.98,2.17,1.83,1.29,0.7,1.29,2.98,0.11,2.22,2.44,1.93,0.65,0.43,0.73,0.34,1.15,2.57,1,1.13,0.54,2.68,1.24,0.23,1.63,1.58,0.4,0.88,1.81,0.73,1.4
April,,,,,,,,2.57,2.37,2.61,0.06,3.47,0.5,0.82,1.56,2.25,1.38,1.45,2.52,1.03,2.94,1.35,1.78,1.55,1.75,2.75,1.15,1.97,0.92,0.98,2.47,3.39,0.95,0.81,3.38,2.81,1.33,2.49,0.19,1.17,2.19,0.55,0.6,0.93,1.97,1.07,1.82,3.11,0.78,2.21,2.14,1.79,2,1.87,0.22,0.98,0.73,0.25,1.3,1.44,0.51
May,,,,,,,,3.55,2.14,1.83,2.72,1.95,2.4,1.42,2.9,1,1.51,0.76,2.17,1.13,2.14,1.68,1.04,2.91,4.34,2.34,2.11,1.68,1.73,1.84,1.1,2.33,4.37,2.2,1.32,1.02,1.4,2.81,2.71,2.15,1.82,1.05,1.99,1.92,0.96,2.7,1.94,2.07,1.19,0.89,1.21,3.64,1.3,1.88,2.45,2.12,0.26,1.13,2.65,0.66,0.52
June,,,,,,,,3.8,0.45,3.48,6.45,1.24,3.39,0.7,2.02,2.54,0.69,1.18,1.79,3.22,1.1,0.5,2.14,0.83,1.86,0.18,3.01,2.38,4.82,1.59,1.39,4.3,1.02,1.65,2.22,2.54,4.24,1.29,1.9,2.16,1.15,0.5,0.95,1.59,1.84,1.78,2.03,2.74,4.56,0.8,1.47,1.24,1.22,2.26,3.01,2.5,3.34,3.47,2.83,1.82,0.27
July,,,,,,,,1.64,3.08,2.59,4.58,1.13,4.25,4.36,2.51,0.98,3.49,2.36,3.57,0.67,5.52,1.64,4.45,2.12,3.57,2.74,3.56,4.13,0.83,1.97,6.12,4.64,3.18,1.5,2.36,0.67,2.61,0.95,2.9,2.09,6.55,1.2,3.23,0.93,2.19,1.47,4.5,1.61,1.48,1.48,3.01,2.62,1.3,2.83,1.66,0.9,3.32,3.23,2.19,1.53,5.68
August,,,,,,,,2.02,1.82,4.52,3.79,1.61,1.03,2.48,2.47,5.6,2.94,2.72,2.65,2.99,1.54,4.57,2.52,3.15,3.58,2.53,2.24,6.44,3.78,3.02,3.09,2.69,2.28,0.29,1.98,1.83,2.86,1.47,3.7,2.11,0.71,2.94,2.68,3.05,2.82,4.06,3.6,0.22,2.74,1.49,4.45,5.76,2.81,2.67,5.47,0.89,6.83,3.05,3.64,0.2,2.65
September,,,,,,,,0.47,2.19,2.04,1.29,1.89,2.33,1.19,2.48,0.86,4.33,0.94,0.32,2.07,1.29,0.75,2.36,2.12,2.18,2.42,1.9,4.49,0.52,1.08,2.48,5.02,2.52,1.55,1.76,4.58,4.07,1.18,1.72,1.34,1.17,0.52,2.1,3.77,4,1.51,2.96,3.09,1.17,0.61,3.19,1.4,4.66,1.66,1.46,1.26,1.75,2.99,1.89,0.94,2.44
October,,,,,,,,4.19,1.17,3,2.14,3.16,1.81,1.37,2.62,2.63,2.04,5.61,2.6,2.67,1.7,1.11,1.53,2.31,3.37,2.7,2.78,2.18,2.42,3.06,2.05,1.14,3.33,3.81,2.69,3.25,1.46,1.45,3.44,4.7,2.86,3.5,2.41,1.65,3.12,3.11,0.91,0.32,0.91,2.18,1.3,1.29,3.11,1.81,3.75,1.96,1.34,1.84,1.34,1.16,4.56
November,,,,,,,,2.49,1.58,1.65,2.3,1.95,2.66,1.59,1.62,1.42,1.39,3.15,1.73,3.17,0.9,2.15,0.78,3.52,0.9,2.59,4.01,2.72,2.45,2.6,2.84,2.33,1.1,3.15,1.71,3.92,2.14,2.15,3.05,1.77,3.04,2.6,1.49,2.34,3.85,0.77,4.17,1.86,1.18,3.25,5.41,4.46,2.85,1.66,4.08,1.94,0.9,1.95,0.84,3.19,2.9
December,,,,,,,,3.18,0.87,3.37,1.21,1.9,4.33,4.14,2.1,1.78,3.01,2.51,1.76,3.51,2.84,1.86,2.98,2.13,2.99,2.96,1.39,1.8,1.43,3.15,2.06,1.04,1.12,1.4,3.18,1.8,1.46,4.05,3.48,1.43,2.46,0.34,1.94,1.18,1.61,0.96,2.23,1.63,1.76,2.02,2.79,2.87,1.45,0.94,1.81,2.73,1.83,2.11,2.06,3.04,2.82
Total,,,,,,,,26.35,21.18,30.45,30.63,24.65,27.32,24.13,26.55,24.28,25.57,26.86,24.62,24.36,27.16,20.25,24.41,25.32,28.66,26.85,26.64,32.7,25.16,22.42,31.09,31.04,24.3,24.44,23.54,28.3,28.64,26.04,27.15,26.39,27.8,23.36,21.25,21.2,26.4,24.39,27.21,22.38,22.22,17.16,29.77,31.78,24.34,20.77,29.45,20.44,25.2,24.56,25.12,17.88,29.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 ARITHMETIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910, 1911 arithmetic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 Feb mis transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
