"CRATHORNE HALL GARDENS NR YARM",,,,,,,,,,,,
Grid ref,NZ446085,Long,-1.313350,Lat,54.469916,,,,,,,
Station no,3482,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.37,1.16,0.78,,
February,,,,,,,,1.22,2.00,1.30,,
March,,,,,,,,0.85,2.35,3.28,,
April,,,,,,,,2.57,2.37,2.61,,
May,,,,,,,,3.55,2.14,1.83,,
June,,,,,,,,3.80,0.45,3.48,,
July,,,,,,,,1.64,3.08,2.59,,
August,,,,,,,,2.02,1.82,4.52,,
September,,,,,,,,0.47,2.19,2.04,,
October,,,,,,,,4.19,1.17,3.00,,
November,,,,,,,,2.49,1.58,1.65,,
December,,,,,,,,3.18,0.87,3.37,,
Total,,,,,,,,26.32,21.18,30.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.35,21.18,30.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.03,0.00,0.00,,
