HUTTON-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST352586,Long,-2.93084,Lat,51.32342,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.69,0.91,4.38,4.62,1.87,1.6,3.82,3.19,0.64,4.28,1.67,1.38,1.17,3.43,1.07,,,,,,,,
February,,,,,,,,3.83,1.66,3.58,4.93,1.54,1.23,1.41,4.22,0.64,2.29,1.46,1.5,0.35,4.04,2.26,,,,,,,,
March,,,,,,,,4.48,1.12,0.75,1.16,1.81,1.87,3.19,1.67,3.72,2.67,0.8,3.12,3.36,0.54,2.34,,,,,,,,
April,,,,,,,,3.89,1.44,3.78,1.42,2.48,1.36,2.7,1.14,2.42,0.94,4.19,3,2.45,2.38,2.3,,,,,,,,
May,,,,,,,,1.35,4.07,2.44,1.81,0.64,2.63,2.78,3.16,0.09,4.76,2.72,1.57,2.05,2.05,1.06,,,,,,,,
June,,,,,,,,2.56,1.09,1.1,2.73,2.47,3.35,3.32,1.07,4.27,2.08,3,0.41,2.64,5.34,2.63,,,,,,,,
July,,,,,,,,1.72,0.62,0.27,1.26,1.42,2.03,2.69,4.09,0.74,1.33,1.99,2.78,2.49,1.96,0.12,,,,,,,,
August,,,,,,,,6.05,2.66,0.85,3.28,2.61,3.91,4.55,3.07,6.33,3.06,3.55,4.61,2.91,7.66,1.76,,,,,,,,
September,,,,,,,,4.45,1.19,3.55,1.18,2.01,1.76,3.15,2.24,1.69,0.83,0.95,2.5,3.23,0.23,1.54,,,,,,,,
October,,,,,,,,0.97,5.23,3.24,3.87,2.68,2.87,7.96,2.04,2.25,5.26,5.45,1.94,5.2,6.57,2.76,,,,,,,,
November,,,,,,,,2.17,3.23,2.64,3.73,0.75,2.96,2.2,2.43,2.59,3.37,3.44,1.26,1.59,5.56,4.06,,,,,,,,
December,,,,,,,,4.38,3.25,3.07,5.2,5.58,2.22,2.98,2.01,1.14,1.92,5.59,2.54,5.09,4.63,7.92,,,,,,,,
Total,,,,,,,,37.54,26.47,29.65,35.19,25.86,27.79,40.75,30.33,26.52,32.79,34.81,26.61,32.53,44.39,29.82,,,,,,,,
