SILVERTON,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS955029,Long,-3.48407,Lat,50.81663,Elevation,260,ft,,,,,,,,,,,,,
Station no,1783,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.91,1.55,5.1,3.22,2.84,2.06,2.79,1.08,4.67,,,,
February,,,,,,,,,3.4,1.82,1.22,3.36,0.05,4.11,0.36,4.18,3.15,,,,
March,,,,,,,,,3.17,0.18,3.2,2.1,2.53,3.17,2.99,1.45,3.64,,,,
April,,,,,,,,,1.31,0.92,3.51,3.52,2.75,1.89,3.79,4.64,3.09,,,,
May,,,,,,,,,1.9,2.13,1.99,3.65,3.27,2.95,1.58,2.05,0.52,,,,
June,,,,,,,,,2.26,2.4,0.52,2.59,1.88,2.2,2.22,2.69,2.25,,,,
July,,,,,,,,,1.78,1.21,1.78,3.89,3.24,2.67,1.15,0.43,6.56,,,,
August,,,,,,,,,1.57,2.87,3.6,3.58,2.22,1.63,3.44,2.26,0.17,,,,
September,,,,,,,,,1.33,0.75,5.32,1.42,5.2,2.47,2.78,3.72,3.53,,,,
October,,,,,,,,,4.43,5.68,4.21,0.59,7.82,2.79,2.68,3.88,1.48,,,,
November,,,,,,,,,3.74,9.15,5.99,6.07,2.32,1,1.52,5.12,3.35,,,,
December,,,,,,,,,3.38,7.82,4.71,1.98,2.41,1.98,10.69,5.15,2.71,,,,
Total,,,,,,,,,33.18,36.48,41.15,35.97,36.53,28.92,35.99,36.65,35.12,,,,
,,,,,,,,,,,,,,,,,,,,,
Near New Inn Fore St,,,,,,,,,,,,,,,,,,,,,
1937 Station terminated owing to death of observer,,,,,,,,,,,,,,,,,,,,,
