COLLOONEY MARKREE OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IG7010025200,Long,-8.458681,Lat,54.175037,Elevation,148,ft,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,4.61,2.41,4.1,2.51,2.54,2.54,3.6,2.21,2.9,2.38,4.78,3.72,1.64,1.92,1.76,3.28,4.08,3.19,3.04,4.74,3.44,2.68,4.46,2.72,3.47,4.18,4.35,2.18,2.63,6.42,2.09,5.63,3.04,3.01,4.36,5.3,6.35,4.9,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.83,2.23,2.29,2.18,1.65,2.87,0.44,0.21,2.2,3.36,4.29,0.45,1.7,2.34,4.41,2.84,3.1,1.84,1.65,3.62,2.96,3.47,3.42,2.67,4.09,2.05,6.66,3.26,3.84,2.2,6.64,5.71,4.6,1.5,6.2,1.25,3.1,2.02,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.5,2.18,2.48,1.69,3.49,2.05,2.2,2.18,0.72,1.37,2.28,3.47,4.85,5.48,1.91,1.81,0.86,2.95,2.47,5.2,1.8,4.13,2.97,4.14,4.31,2.38,3.65,2.31,5,4.89,4.96,1.02,1.84,3.6,1.2,4.1,4.7,4.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.23,1.58,1.94,1.86,1.83,3.04,1.66,1.71,1.41,1.49,3.73,2.26,2.14,2.9,2.49,3.87,2.26,2.76,2.9,2,2.36,1.5,2.63,2.53,2.49,2.98,2.6,2.51,1.53,4.13,1.9,3.63,5.9,2.6,1.1,3.2,3.5,1.76,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.82,2.5,3.57,2.32,2.35,4.27,1.26,3.14,4.15,1.46,2.64,1.25,0.89,2.11,4.18,2.51,3.02,2.2,2.76,2.07,2.33,1.5,2.92,3.73,3.11,1.75,3.83,1.54,1.96,3.96,2.47,1.4,4.88,3.2,2,4,4,3.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.09,0.46,2.07,0.33,5.23,0.68,2.55,2.01,3.58,2.47,2.38,1.54,3.32,4.26,3.51,3.35,4.91,3.11,1.59,0.58,1.7,1.57,2.09,4.93,2.93,1.97,5.73,2.27,5.48,3.2,1.27,2.8,3.67,2.5,2.6,4.2,2.5,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,4.15,3.57,2.87,3.11,4.66,2.34,3.36,2.35,2.38,2.32,5.67,4.77,4.41,3.33,1.36,1.88,1.36,1.67,2.34,4.78,4.19,1.35,1.75,2.66,1.96,2.92,5.88,3.93,3.86,1.63,4.2,5.59,2.75,3.25,2.3,2,4.8,5.05,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.76,1.58,2.61,2.96,3.84,5.62,4.76,6.47,5.79,3.81,2.14,4.34,3.56,5.34,3.36,2.88,4.42,3.92,2.2,7.05,5.54,5.1,4.22,3.62,3.19,2.26,7,3.12,6.22,1.5,5.3,3.2,4.65,6.9,2.7,4,2.8,6.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.36,5.17,3.65,5.27,1.74,2.9,3.16,2.16,4.59,3.43,0.23,1.02,5.09,2.34,3.11,4.88,2.13,4.34,2.9,4.21,2.52,2.07,1.17,1.42,6.41,3.52,1.28,2.02,1.3,3.03,2.5,1.95,2.47,3.5,8.4,3.9,3.15,1.4,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.46,5.28,4.95,2.05,2.34,5.5,3.91,4.31,4.2,3.46,3.29,5.23,4.58,2.27,2.3,2.1,5.08,4.45,2.55,6.21,2.15,3.09,4,4.5,0.95,5.84,3.23,3.56,4.37,3.05,2.12,3.92,8.44,9.3,5.8,2,2.6,3.6,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
