"COLLOONEY MARKREE OBSERVATORY",,,,,,,,,,,,
Grid ref,IG7010025200,Long,-8.458681,Lat,54.175037,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.08,3.19,3.04,4.74,3.44,2.68,4.46,2.72,3.47,4.18,,
February,3.10,1.84,1.65,3.62,2.96,3.47,3.42,2.67,4.09,2.05,,
March,0.86,2.95,2.47,5.20,1.80,4.13,2.97,4.14,4.31,2.38,,
April,2.26,2.76,2.90,2.00,2.36,1.50,2.63,2.53,2.49,2.98,,
May,3.02,2.20,2.76,2.07,2.33,1.50,2.92,3.73,3.11,1.75,,
June,4.91,3.11,1.59,0.58,1.70,1.57,2.09,4.93,2.93,1.97,,
July,1.36,1.67,2.34,4.78,4.19,1.35,1.75,2.66,1.96,2.92,,
August,4.42,3.92,2.20,7.05,5.54,5.10,4.22,3.62,3.19,2.26,,
September,2.13,4.34,2.90,4.21,2.52,2.07,1.17,1.42,6.41,3.52,,
October,5.08,4.45,2.55,6.21,2.15,3.09,4.00,4.50,0.95,5.84,,
November,4.29,3.74,4.15,3.28,4.09,4.11,2.04,2.37,2.36,2.90,,
December,3.95,4.79,4.04,2.34,2.98,2.54,4.54,3.78,3.91,4.09,,
Total,39.46,38.96,32.59,46.08,36.06,33.11,36.21,39.07,39.18,36.84,,
Calc annual,39.46,38.96,32.59,46.08,36.06,33.11,36.21,39.07,39.18,36.84,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
