DUNFORD BRIDGE STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE158024,Long,-1.763181,Lat,53.51804,Elevation,954,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,5.94,4.24,3.15,,3.14,3.3,2.2,2.96,5.16,0.4,3.98,9.82,2.74,4.49,6.61,5.18,5.95,5.01,6.34,2.16,7.59,5.35,5.93,5.86,1.84,5.06,8.34,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,5.53,1.23,2.59,,2.9,1.26,0.34,3.19,2.38,5.86,1.48,2.53,4.48,3.05,6.39,6.6,5.23,11.09,3.36,6.16,7.09,0.99,2.09,0.92,5.52,3.54,2.73,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.73,,1.54,2.03,,3.12,1.88,6.75,7.52,10.67,5.85,1.57,3.43,1.09,2.67,3.11,8.97,2.28,4.58,2.4,4.39,4.19,4.91,0.71,5.5,3.88,5.29,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.02,,0.34,0.92,3.33,2.65,3.65,7.97,2.28,2.01,4.61,2.46,1.58,1.95,2.87,7.98,4.41,3.66,2.71,5.17,7.65,0.65,1.89,1.69,2.73,3.16,3.88,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.07,,2.89,1.66,2.36,1.33,4.1,0.36,4.57,1.66,5.63,2.73,2.74,3.19,2.79,2.93,1.28,8.86,1.83,2.16,4.55,3.48,1.43,3.08,1.14,4.5,7.07,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,4.59,2.35,1.86,3.15,1.98,,4.47,3.26,10.13,2,3.83,5.63,2.79,1.13,6.24,2.84,0.32,1.59,1.61,5.68,6.32,3.44,1.12,3.65,2.96,2.82,4.22,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.45,2.62,2.06,3.35,1.94,,2.88,1.65,3.26,5.02,5.1,2.1,0.99,4.07,5.15,7.51,0.97,0.94,1.12,3.95,6.73,3.81,1.84,5.71,2.67,3.89,1.99,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.97,2.72,1.36,2.03,7.57,,3.04,9.84,7.13,3.03,2.92,5.89,2.38,4.89,7.32,3.21,4.49,3.24,2.33,1.91,4.64,5.8,5.42,3.43,3.53,6.97,8.26,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.86,3.64,,0.94,5.12,,3.72,6.33,3.43,4.77,4.37,6.45,2.66,0.63,7.03,5.78,5.5,10.56,3.48,8.25,9.92,3.93,3.27,5.07,6.04,5.07,5.65,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.91,5.51,,7.06,2.92,1.05,5.45,7.02,7.13,2.16,8.53,9.38,4.8,9.72,3.55,5.06,9.57,4.92,19.9,4.27,9.93,5.43,5.42,6.74,2.86,4.8,4.62,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,6.33,2.52,,1.26,1.02,1.97,1.6,4.13,5.63,7.01,1.2,5.33,7.48,5.25,8.85,1.52,5.59,7.31,2.96,2.04,11.04,4.34,4.12,5.14,4.36,7.91,3.99,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,6.31,1.24,,0.75,2.63,2.12,4.82,5.1,4.17,3.29,5.05,5.57,3.14,1.98,7.68,4.22,15.01,8.6,4.22,2.78,5.89,1.03,2.95,1.64,9.21,7.34,1.57,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,43.71,,,,,,38.15,58.56,62.79,47.88,52.55,59.46,39.21,41.44,67.15,55.94,67.29,68.06,54.44,46.93,85.74,42.44,40.39,43.64,48.36,58.94,57.61,46.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
