DUNFORD BRIDGE STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE158024,Long,-1.763181,Lat,53.51804,Elevation,954,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,5.09,8.19,1.22,0.3,0.17,3.48,5.66,8.25,3.26,3.66,2.01,1.4,3.23,4.76,3.82,5.78,2.05,5.39,3.68,2.25,1.73,4.1,8.32,7.42,2.86,3.74,4.4,4.57,3.4,4.8,2.14,3.5,2.97,5.04,2.7,5.02,4.27,5,8.26,5.54,2.73,4.7,5.22,5.77,7.55,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,3.46,2.66,3.8,5.1,4.75,6.31,3.93,3.28,5.16,0.46,0.78,0.31,1.12,1,0.4,3.35,7.77,10.67,1.1,2.44,4.06,6.58,2.38,3.01,1.14,1.02,6.08,6.29,2.94,3.76,3.2,2.59,3.01,6.59,5.65,2.48,1.84,4.59,6.43,7.44,0.94,7.68,2.5,5.63,0.31,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,3.99,5.29,1.86,3.93,4.73,4.23,0.76,2.59,3.63,3.37,1.55,2.93,2.98,4.72,3.27,0.92,1.1,5.5,5.04,7.95,6.08,2.48,2.79,0.61,3.72,2.43,7.78,2.89,5.42,3.99,3.77,4.21,3.79,1.07,3.07,5.76,6.38,6.21,1.09,3.46,3.09,1.56,5.7,2.77,4.57,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.12,3.75,3.53,2.98,1.4,5.1,3.23,2.19,3.08,3.45,1.15,3.54,5.54,1.58,3.29,1.8,0.81,3.44,3.09,2.42,4.93,3.68,3.8,2.33,2.42,2.69,2.87,3.62,3.39,1.34,3.57,2.88,3.11,4.38,2.98,1.55,4.76,1.88,1.9,4.44,2.45,1.31,2.34,6.38,2.19,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,4.57,7.19,3.22,3.39,3.71,2.03,1.89,2.56,4,7.26,3.49,1.23,3.59,4.19,4.58,5.86,3.22,2.42,0.84,0.51,1.52,4.42,4.27,1.91,1.25,3.18,4.3,3.41,0.53,3.26,5.81,3.09,2.25,4.14,1.22,3.88,3.02,2.55,1.76,2.61,2.03,3.12,2.37,5.99,1.81,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.82,4.3,6.1,3.78,3.09,5.97,4.34,2.3,4.81,1.14,0.55,2.84,0.47,3.46,2.55,4.31,1.67,3.83,2.59,4.16,5.08,2.35,2.22,3.1,1.19,1.94,1.86,1.13,1.56,1.75,6.81,2.45,4.96,4.05,4.52,4.72,1.89,3.6,0.9,3.45,2.33,2.54,1.13,3.71,0.23,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.83,2.13,6.3,6.58,3.75,4.99,3.53,3.58,1.87,5.56,1.13,6.92,4.52,2.96,4.29,3.96,4.01,5.31,7.1,1.62,2.04,0.96,1.97,3.85,5.95,2.77,2.95,1.74,1.62,3.22,3.07,3.85,6.17,4.35,0.41,5.66,1.39,3.54,5.43,2.46,2.59,3.15,3.89,6.99,0.93,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,6.75,8.36,7.11,1.83,5.67,2.63,3.13,1.54,2.33,2.59,1.84,3.11,3.61,4.59,6.8,4.39,2.6,4.83,4.44,2.26,4.04,5.64,1.17,6.07,1.84,4.09,6.17,5.11,4.19,3.31,3.41,3.7,3.19,5.93,3.89,8.03,1.65,2.81,4.95,2.94,7.15,2.07,3.86,2.28,5.26,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,5.21,5.54,3.58,7,3.24,3.14,7.22,2.44,5.06,2.13,4.63,1.43,3.19,2.03,3.72,5.28,3.59,1.35,1.05,8.78,4.78,0.6,6.87,0.95,0.76,2.22,6.22,1.39,2.33,1.33,0.83,3.2,3.85,0.35,2.69,2.64,2.39,2.64,0.71,2.81,2.45,12.25,2.39,1.59,1.4,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,4.75,4.35,3.66,8.16,6.34,5.37,6.25,2.96,12.31,6.92,3.63,1.58,7.59,3.41,7.06,10.19,2.53,7.69,4.93,6.6,2.09,6.01,4.35,5.84,3.04,5.69,10.87,1.31,4.08,9.31,7.86,1.64,6.03,3.52,4.31,5.03,4.54,2.98,1.7,8.7,7.35,3.73,3.9,1.5,2.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
