STANTON-ST-JOHN-WOODPERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP575104,Long,-1.167753,Lat,51.78931,Elevation,399,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.12,1.28,2.13,2.21,2.27,3.46,2.85,0.67,0.68,2.21,1.67,0.49,2.03,1.83,2.37,0.79,2.14,0.72,3.01,2.78,1.11,0.65,2.38,3.45,0.87,3.29,0.69,1.81,1.04,1.63,1.07,4.4,3.08,0.52,2.86,1.39,1.53,3.05,3.47,2.52,2.19,2.49,1.59,3.04,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,2.69,1.05,4.13,1.51,2.56,0.58,0.89,2.48,1.77,0.95,0.01,1.02,2.81,1.78,0.18,0.33,2.58,1.24,2.04,4.7,1.72,1.23,0.77,3.52,0.58,1.4,1.25,1.09,0.55,3.1,1.62,2.35,1.11,2.3,3.74,4.35,1.26,1.31,2.98,0.88,0.57,2.6,4.14,0.38,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.77,1.71,1.02,2.05,1.85,1.79,1.63,3.21,1.74,0.91,1.46,0.61,0.19,1.76,1.58,2.62,3.05,0.75,0.48,0.55,1.62,1.49,3.54,1.22,3.19,1.37,1.11,3,2.74,0.69,2.12,4.02,2.79,3.99,1.15,5.46,1.9,0.73,4.46,1.9,1.12,1.95,2.38,0.95,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.84,3.29,1.07,1.56,1.74,2.69,1.27,1.92,2.46,1.24,0.69,0.77,0.12,1.99,1.61,0.58,2.06,1.83,2.22,1.02,2.46,1.41,2.12,0.88,2.09,0.42,2.52,4.75,1.81,2.04,1.37,0.02,2.76,0.94,0.87,1.17,1.66,3.25,2.64,3.63,0.92,3.32,2.44,3.13,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.15,1.89,1.93,0.82,2.07,4.25,1.84,1.31,3.4,2.32,2.71,1.38,1.09,1.92,0.26,0.29,1.16,2.66,2.03,1.4,1.51,1.73,4.2,2.8,0.86,1.84,2.7,1.32,2.75,2.5,1.87,2.85,2.52,0.61,2.24,1.86,2.15,2.24,0.35,2.82,1.18,1.28,1.41,4.45,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.04,3.21,4.11,2.83,2.06,1.04,1.37,2.87,1,2.11,1.83,2.4,0.62,3.27,0.6,2.7,1.97,1.66,1.2,2.97,1.79,2.3,5.27,1.2,4.71,3.45,2,1.34,4.32,5.02,1.89,2.57,0.48,2.34,1.21,1.85,2.59,1.07,1.08,2.32,0.22,1.5,0.34,2.48,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.03,3.84,2.72,2.34,0.2,3.71,0.86,4.31,2.13,4.42,2.12,2.8,3.79,3.63,4.25,1.17,1.05,0.67,1.51,1.04,3.43,1,3.34,4.02,0.26,0.89,2.8,2.21,2.86,2.24,0.32,3.11,1.18,3.71,4.78,1.95,3.64,4.7,2.87,4.53,0.23,3.97,1.8,3.91,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,5.29,1.64,0.99,1.6,1.86,1.75,0.95,2.26,2.37,2.43,5.16,2.84,1.38,2.66,2.42,2.84,4.03,1.99,1.4,4.24,2.27,2.59,4.16,1.91,3.9,0.79,1.78,3.18,3.05,2.21,0.72,4.73,0.89,2.2,1.91,4.27,4.1,1.13,3.06,1.54,1.86,5.07,2.84,2.55,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.56,2.51,4.22,1.34,4.93,1.8,2.64,1.43,1.83,1.19,1.41,2.83,0.64,1.95,0.74,5.17,2.88,0.48,2.66,0.48,2.34,2.78,1.98,1.48,1.67,1.08,0.75,1.79,2.26,0.46,1.34,1.33,1.81,0.96,2.55,0.95,1.81,5.41,1.8,2.2,1.82,1.83,2.38,4.38,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1.89,5.61,2.16,0.91,4.13,3.82,1.74,0.79,3.05,1.33,6.45,3.55,3.25,3.56,2.93,3.32,1.6,4.11,2.62,2.31,1.53,1.69,7.4,0.98,1.3,4.61,5.85,1.3,3.98,3.85,2.59,3.75,4.82,3.12,2.47,3.88,4.98,1.67,1.77,1.75,1.39,0.65,4.07,3.88,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
