MAIDSTONE-LEEDS-SCHOOLHOUSE,,,,,,,,,,
Grid ref,TQ824533,Long,0.61220437,Lat,51.249698,Elevation,217,ft,,
Station no,RR8337,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.24,1.57,2.64,3.05,0.63,3.04,1.35,1.48,,
February,3.89,1.26,1.54,0.63,2.19,3.02,4.56,0.77,,
March,1.39,2.29,2.82,1.87,4.51,1,4.1,1.75,,
April,1.46,1.97,0.07,3.23,1.21,1.11,1.18,1.74,,
May,2.6,1.51,1.03,0.95,0.88,2.82,1.65,1.81,,
June,2.79,2.16,2.71,0.31,0.61,0.81,2.24,2.2,,
July,2.77,0.42,0.95,2.08,1.72,2.41,1.41,5.16,,
August,2.35,1.27,4.55,1.03,0.86,2.45,2.05,4.82,,
September,0.92,1.51,2.34,2.1,0.45,3.18,0.83,0.87,,
October,2.16,5.01,2.68,4.25,2.59,1.63,3.01,2.32,,
November,4.22,4.57,2.14,3.18,3.19,3.75,3.7,1.4,,
December,2.99,4.79,2.05,0.91,6.22,5.63,3.2,3.34,,
Total,29.78,28.33,25.52,23.59,25.06,30.85,29.28,27.66,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1917 Jul IDR,,,,,,,,,,
