DARLINGTON (CONISCLIFFE ROAD),,,,,,,,,,
Grid ref,NZ280141,Long,-1.568942,Lat,54.521424,Elevation,173,ft,,
Station no,3502/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.8,1.8,3.04,1.87,1.66,2.34,4.2
February,,,,2.06,1.59,2,1.79,3.7,0.62,2.15
March,,,,1.35,1.43,0.52,0.89,1.64,0.71,1.95
April,,,,0.31,0.75,0.64,0.23,1.33,1.8,0.77
May,,,,2.63,1.81,0.45,1.61,3.02,0.43,1.88
June,,,,2.17,2.32,2.71,1.81,3.13,1.77,0.37
July,,,,1.85,0.88,4.17,3.54,2.87,1.47,4.53
August,,,,4.42,0.56,6.82,3.14,4.08,0.56,2.78
September,,,,2.22,0.91,2.64,3.64,2.56,1.14,2.42
October,,,,4.07,1.83,1.17,1.93,1.25,1.41,5.45
November,,,,4.15,2.02,0.52,1.28,0.64,3.2,2.91
December,,,,1.66,2.57,2.94,1.81,3.41,2.64,2.37
Total,,,,28.69,18.47,27.62,23.54,29.29,18.09,31.78
,,,,,,,,,,
2028 DARLINGTON: CONISCLIFFE 1954-1975,,,,,,,,,,
