"BILSTON (THE LUNT OUTFALL)",,,,,,,,,,,,
Grid ref,SO963968,Long,-2.056021,Lat,52.569012,,,,,,,
Station no,2333,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.37,0.78,3.55,1.22,0.98,1.08,,
February,,,,,3.37,0.61,2.03,1.33,1.21,0.58,,
March,,,,,1.47,2.95,1.10,1.12,3.16,2.29,,
April,,,,,1.19,1.89,1.54,1.87,2.38,1.68,,
May,,,,,2.29,0.48,2.72,3.99,2.65,1.38,,
June,,,,,0.36,2.98,2.48,2.67,2.39,3.28,,
July,,,,,1.93,1.85,0.82,2.22,2.15,3.27,,
August,,,,,2.20,4.63,1.21,2.78,4.68,1.81,,
September,,,,,1.96,1.73,1.27,0.96,1.90,2.35,,
October,,,,,0.48,1.37,4.97,5.39,2.50,3.48,,
November,,,,,1.39,2.40,2.94,2.66,1.70,0.83,,
December,,,,,1.59,0.76,1.78,2.60,1.98,3.96,,
Total,,,,,20.60,22.43,26.41,28.81,27.68,25.99,,
Calc annual,0.00,0.00,0.00,0.00,20.60,22.43,26.41,28.81,27.68,25.99,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,,
