SEDBURY PARK,,,,,,,,,,
Grid ref,NZ198051,Long,-1.696,Lat,54.441,Elevation,450,ft,,
Station no,RR4582,,,,,,,,,
,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917
January,1.21,1.01,3.49,1.40,3.47,4.45,1.58,2.67,1.21,3.87
February,2.50,1.40,3.20,1.38,2.10,0.87,2.04,3.24,3.64,0.87
March,3.61,4.62,0.71,1.94,2.77,3.92,2.08,1.24,4.67,2.58
April,2.87,2.07,2.52,1.17,0.07,3.80,0.70,0.80,1.30,2.04
May,1.99,1.78,2.25,1.15,2.67,2.27,1.93,2.32,3.53,1.23
June,0.98,2.36,2.30,3.67,5.94,1.18,2.96,0.28,1.73,1.72
July,2.90,2.23,3.29,0.43,3.43,0.94,2.91,3.80,3.15,1.35
August,2.10,3.83,3.24,2.61,5.12,1.17,2.02,3.40,2.08,7.67
September,3.01,2.14,0.23,2.24,2.22,2.19,1.86,1.11,2.04,0.88
October,2.06,2.46,2.19,2.95,2.24,3.02,2.17,1.88,3.67,2.71
November,1.13,0.63,2.93,3.97,1.73,1.67,3.63,1.98,2.79,1.10
December,1.25,4.81,3.34,4.53,1.94,1.55,5.10,7.15,2.26,2.01
Total,25.61,29.34,29.69,27.44,33.70,27.03,28.98,29.87,32.07,28.03
,,,,,,,,,,
TYRain_1900-1909_22_pt1/092,,,,,,,,,,
TYRain_1910-1919_20_pt1/239,,,,,,,,,,
