"SOUTH NUTFIELD HALE EDGE",,,,,,,,,,,,
Grid ref,TQ306483,Long,-0.131345,Lat,51.218969,,,,,,,
Station no,116,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.23,4.97,1.15,1.82,1.04,,
February,,,,,,0.83,2.54,1.36,1.22,0.40,,
March,,,,,,3.81,1.51,0.95,2.83,3.24,,
April,,,,,,1.58,0.68,3.53,2.51,1.65,,
May,,,,,,0.62,1.33,2.10,2.01,1.59,,
June,,,,,,4.72,1.90,1.58,1.72,2.69,,
July,,,,,,0.95,0.61,1.18,3.11,3.17,,
August,,,,,,2.50,1.00,2.63,3.84,2.42,,
September,,,,,,2.16,1.36,0.45,1.35,2.56,,
October,,,,,,1.29,3.78,3.65,2.02,4.71,,
November,,,,,,4.50,4.84,2.27,1.00,0.88,,
December,,,,,,0.60,2.12,3.52,2.78,3.86,,
Total,,,,,,24.79,26.64,24.37,26.21,28.21,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.79,26.64,24.37,26.21,28.21,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
