PONDERS-BRIDGE-PUMPING-STATION,,,,,,,,,,
Grid ref,TL262924,Long,-0.141693,Lat,52.514884,Elevation,3,ft,,
Station no,1217/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.19,2.48,2.7
February,,,,,,,,2.91,0.18,1.49
March,,,,,,,,1.12,1.74,1.59
April,,,,,,,,0.77,1.08,0.41
May,,,,,,,,2.58,0.49,0.89
June,,,,,,,,5.56,1.17,1.87
July,,,,,,,,2.24,2.44,2.71
August,,,,,,,,3.34,1.23,1.88
September,,,,,,,4.23,2.69,0.13,2.98
October,,,,,,,1.2,1.44,1.24,5.21
November,,,,,,,1.63,1.76,1.39,2.81
December,,,,,,,1.73,2.26,3.28,3.02
Total,,,,,,,,28.86,16.85,27.56
