STRETTON RECTORY HEREFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SO467429,Long,-2.7778177,Lat,52.082245,Elevation,236,ft,,,,,,,,,,,,
Station no,RR7151,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,0.56,2.67,3.13,1,3.64,3.03,4.22,2.85,4.99,1.6,2.53,5.17,3.4,2.8,3.76,1.82,4.3,1.62,
February,,2.84,1.18,0.56,1.27,1.93,2.82,2.19,1.51,3.04,2.06,1.35,3.56,1.32,2.53,2.23,2.73,1.67,1.34,
March,,2.6,3.57,0.82,2.46,1,2.57,3.89,1.65,1.53,1.57,1.28,2,2.95,0.78,1.18,2.92,2.38,0.96,
April,,0.8,2.4,1.44,1.27,1.13,1.83,2.52,1.88,0.91,0.56,2.12,2.85,1.08,1.54,0.86,2.57,2.68,2.29,
May,,1.25,3.78,0.62,1.27,2.54,0.75,2.9,1.7,4.46,1.08,0.95,1.25,1.63,1.41,2.53,0.36,2.54,5.58,
June,,2.2,1.96,2.65,1.04,1.24,2.45,0.94,0.34,0.59,0.21,3.72,3.41,2.66,1.02,2.52,1.1,0.83,2.3,
July,,4.13,2.05,0.84,0.3,2.71,0.8,3.25,1.3,0.46,1.02,3.14,4.78,2.76,0.85,4.8,0.89,3.19,0.81,
August,,0.8,1.52,2.73,0.66,3.8,2.74,1.44,4.85,0.85,0.4,1.77,2.12,2.48,2.49,1.88,1.75,4.88,5.88,
September,,1.8,3.57,3.18,2.74,0.05,5.49,1.9,3.65,4.28,0.86,6.43,1.89,1.49,4.09,4.31,5.93,2.27,3.54,
October,,1.48,3.12,3.26,2.11,4.33,2.4,2.98,1.63,3.19,3.96,3.4,3.79,1.6,2.93,6.03,3.56,2.15,3.94,
November,2.72,2.87,0.78,1.71,2.93,3.15,1.22,0.93,1.28,2.47,1.78,0.95,5.64,1.8,2.69,4.99,4.55,3.28,2.78,
December,4.42,2.27,1.76,1.24,1.6,1.86,1.47,1.01,6.34,3.71,1.67,1.53,5.02,0.81,2.67,1.82,6.4,2,2.29,
Total,,23.6,28.36,22.18,18.65,27.38,27.57,28.17,28.98,30.48,16.77,29.17,41.48,23.98,25.8,36.91,34.58,32.17,33.33,
