EAST-LULWORTH-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY859821,Long,-2.20019,Lat,50.63851,Elevation,175,ft,,,,,,,,,,,,
Station no,RR6709,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.32,0.7,1.24,3.43,1.44,6.04,5.19,1.02,3.63,1.23,1.24,3.73,
February,,,,,,,,1.52,1.91,0.49,4.12,2.05,3.39,1.73,4.55,5.27,5.32,1.52,1.53,
March,,,,,,,,0.63,3.58,5.5,0.9,2.84,5.7,2.51,5.89,1.21,4.1,3.21,1.47,
April,,,,,,,,4.13,2.32,1.02,1.94,1.95,0.05,3.07,1.58,1.45,0.7,1.28,1.97,
May,,,,,,,,2.42,2.92,1.97,1.93,1.05,2.66,2.4,1.38,2.85,1.64,2.9,1.86,
June,,,,,,,,2.35,0.45,3.54,3.63,1.93,3.17,0.5,0.74,0.92,1.22,1.98,0.73,
July,,,,,,,,1.4,1.94,2.98,3.9,0.26,2.35,0.76,4.33,3.44,1.11,2.94,3.91,
August,,,,,,,,1.51,2.29,3.18,1.95,1.07,7.32,2.93,3.69,1.83,4.79,5.78,2.09,
September,,,,,,,,1.28,2.92,3.98,0.4,1.19,3.03,2.85,1.85,2.31,3.43,1.69,7.34,
October,,,,,,,,10.82,3.82,7.86,6.46,5.97,4.75,4.47,4.37,5.74,4.86,5.59,2.1,
November,,,,,,,,3.63,1.3,1.07,4.73,5.38,1.89,3.68,5.89,3.11,4.74,1.24,2.58,
December,,,,,,,,4.04,4.11,6.44,5.69,8.22,4.98,2.42,8.17,9.33,6.61,1.22,3.05,
Total,,,,,,,36.92,35.05,28.26,39.27,39.08,33.35,45.33,32.51,43.46,41.09,39.75,30.59,32.36,
,,,,,,,,,,,,,,,,,,,,
Observations at 9.30am,,,,,,,,,,,,,,,,,,,,
1916 Aug 28 Inspection Gauge on open grassy knoll well sheltered by trees Good exposure Will get new N+3 gauge shortly,,,,,,,,,,,,,,,,,,,,
