KINGSTON-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ185693,Long,-0.29671,Lat,51.41035,Elevation,34,ft,,,,,,,,,,,,,
Station no,152/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.44,1.11,,1.79,1.87,1.77,2.73,0.67,,1.13,1.78,1.2,1.29,1.68,,,2.14,3.56,
February,,,1.46,3.3,,3.21,2.24,3.33,1.11,0.29,,1.68,0.15,2.58,0.2,2.42,,,0.37,0.92,
March,,,1.74,2.29,,0.77,0.35,2.84,1.5,0.03,,0.32,1.16,2.15,1.89,0.53,0.83,2.55,0.34,0.89,
April,,,2.43,1.51,,1.61,2.97,1.5,1.59,0.86,,3.46,2.6,0.67,2.69,2.92,1.76,1.9,0.15,2.63,
May,,,1.04,2.43,,1.59,1.57,1.24,2.24,1.35,,2.32,4.52,2.08,0.4,1.1,0.49,2.05,1.4,1.38,
June,,,1.27,0.46,,0.06,3.17,2.8,2.32,0.77,,1.79,0.88,1.14,0.78,3.95,3.06,1.95,0.45,1.49,
July,,,3.08,,,3.61,1.77,2.77,1.98,0.95,,2.71,1.94,1.59,3.99,1.69,2.25,0.6,0.92,2.7,
August,,,2.36,,,2.47,1.15,3.91,2.15,2.79,,5.51,0.76,0.47,2.37,1.01,0.87,3.16,3.83,2.99,
September,,,1.45,1.63,,2.13,1.01,4.94,0.62,0.17,,2.17,2.13,1.7,1.01,3.33,,1.56,2.46,0.48,
October,,,0.81,5.68,,2.25,2.27,0.65,3.86,2.54,,0.81,4.82,1.45,0.96,1.9,,2.15,1.94,4.8,
November,,,1.19,1.8,,1.63,5.14,2.59,1.49,4.63,,2.05,0.97,0.77,2.02,4.77,3.14,1.19,3.21,4.31,
December,,,2.97,2.2,,2.25,0.33,3.13,1.83,5.08,,0.39,0.4,0.34,4.61,2.53,,4.09,3.69,1.19,
Total,,,22.24,,,23.37,23.84,31.47,23.42,20.13,,24.34,22.11,16.14,22.21,27.83,,,20.9,27.34,
,,,,,,,,,,,,,,,,,,,,,
1923 July Aug Interpolated,,,,,,,,,,,,,,,,,,,,,
1923 Mar Inspection Good exposure,,,,,,,,,,,,,,,,,,,,,
1936 Jan Feb Sept Oct Dec Daily values unreliable Monthly totals estimated by surrounding stations,,,,,,,,,,,,,,,,,,,,,
1937 Jan Feb Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1938 Dec Partly estimated for snow,,,,,,,,,,,,,,,,,,,,,
1940 Regarded as terminated,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Annual average rejected from London Survey as 1in low,,,,,,,,,,,,,,,,,,,,,
