FILBY-NORWICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG469134,Long,1.6496812,Lat,52.662047,Elevation,11,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.8,,1.78,1.34,1.01,0.77,2.81,1.57,0.79,1.62,2.02,2.51,2.18,0.86,0.1,1.79,1.71,1.8,,,,,,
February,,,,,,,2.47,,0.65,2.28,1,1.15,1.44,2.11,1.02,1.43,2.52,2.2,0.8,2.33,1.89,2.28,0.96,1.44,,,,,,
March,,,,,,,3.07,,2.47,3.29,0.81,0.85,3.47,1.35,0.97,0.3,2.28,3.24,1.58,0.97,0.66,1.69,1.85,1.93,,,,,,
April,,,,,,,1.96,,1.59,0.75,0.59,3.34,2.44,0.72,1.16,0.41,2.72,1.77,0.77,2.31,2.26,0.98,2.42,2.01,,,,,,
May,,,,,,,1.14,,1.05,1.43,0.73,0.92,1.88,1.53,1.01,2.05,0.68,1.19,2.17,1.94,1.01,0.51,1.95,1.6,,,,,,
June,,,,,,,2.67,,1.14,1.63,0.95,2.9,2.1,1.47,2.52,2.69,1.34,0.78,1.37,2.7,2.89,2.14,3,1.96,,,,,,
July,,,,,,,2.08,,0.05,1.69,2.31,1.47,2.59,2.03,1.09,6.34,1.14,3.63,1.62,5.39,3.72,0.9,2.85,2.78,,,,,,
August,,,,,,,1.08,,2.37,2.32,2.31,0.91,3.2,1.78,1.49,0.38,1.55,3.4,5,4.69,1.22,3.45,1.38,1.34,,,,,,
September,,,,,,,4.27,,1.28,2.26,1.47,4.46,1.89,2.49,2.64,2.85,5.81,2.35,3.78,3.88,3.12,3.28,2.21,1.81,,,,,,
October,,,,,,,0.61,,2.24,4.75,3.47,1.78,2.38,2.25,1.8,2.76,1.22,1.51,1.52,1.4,4.83,3.81,4.99,2.93,,,,,,
November,,,,,,,3.12,,1.79,1.4,1.19,2.32,5.63,1.15,3.19,6.08,3.1,2.65,8.72,2.35,2.06,1.88,2.46,3.72,,,,,,
December,,,,,,,2.42,,4.03,5.96,4.62,1.51,3.53,0.72,2.77,1.92,3.09,2.78,2.4,1.24,1.86,2.47,3.84,2.62,,,,,,
Total,,,,,,,27.69,,20.44,29.1,20.46,22.38,33.36,19.17,20.45,28.83,27.47,28.01,31.91,30.06,25.62,25.18,29.62,25.94,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1868 Sept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
