RUABON-BRYN-OEROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ263421,Long,-3.0988937,Lat,52.971169,Elevation,410,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,2.1,1.63,3.01,3.75,1.21,5.52,1.66,1.24,2.34,1.74,0.97,4.19,3.05,0.76,3.46,1.4,1.75,2.08,3.15,4.4,,,,,,,,,,
February,,6,0.61,2.72,4.28,1.19,3.85,1.54,2.52,2.04,4.93,0.35,2.09,1.9,3.55,5.3,1.93,0.1,2.01,0.06,2.28,,,,,,,,,,
March,,4.13,1.15,5.88,0.83,4.53,1.94,2.15,4.45,1.18,1.41,1.17,4.35,5.41,3.5,1.47,3.4,0.5,0.91,4.53,4.98,,,,,,,,,,
April,,2.43,2.01,1.19,1.45,2.28,1,1.71,3.32,2.11,2.72,0.95,0.55,4.39,1.38,1.24,1.6,0.5,1.39,3.01,6.44,,,,,,,,,,
May,,1.19,3.02,3.79,1.49,2.14,2.61,2.79,1.92,1.33,2.31,0.81,1.88,2.26,2.31,2.78,3.24,2.55,2.18,1.04,2.79,,,,,,,,,,
June,,1.76,1.86,0.92,1.66,2.01,1.25,3.53,3.17,3.94,3.02,2.33,4.9,1.4,1.97,0.68,1.36,1.88,1.19,0.85,2.52,,,,,,,,,,
July,,3.83,1.68,3.02,1.46,2.53,0.41,2.36,3,2.52,3.17,0.92,1.82,0.74,3.35,3.18,0.78,0.69,2.82,1.2,4.72,,,,,,,,,,
August,,3.17,3.28,4.5,3.52,4.9,2.45,2.32,2.93,1.78,3.95,3.68,5.63,0.84,1.93,3.31,1.27,5.48,2.3,2.63,2.01,,,,,,,,,,
September,,0.9,1.51,5.57,1.42,1.36,0.81,0.78,5.1,2.91,0.36,3.94,0.9,1.3,1.41,0.52,2.85,0.97,6.83,1.42,,,,,,,,,,,
October,,3.28,3.71,8.51,1.21,2.33,6.69,6.66,3.03,4.11,3.43,3.08,3.27,3.42,0.83,2.48,4.91,4.21,1.78,4.58,,,,,,,,,,,
November,,3.76,2.37,2.69,1.65,3.9,3.27,3.01,2.25,0.94,6,4.26,2.9,2.54,4.11,4.5,3.9,2.43,2.34,0.39,,,,,,,,,,,
December,,6.02,3.59,2.26,2.53,0.73,4.2,2.99,2.02,5.34,7.3,6.32,2.35,1.84,8.8,5.99,2.38,1.17,4.76,3.04,,,,,,,,,,,
Total,,38.57,26.42,44.06,25.25,29.11,34,31.5,34.95,30.54,40.34,28.78,34.83,29.09,33.9,34.91,29.02,22.23,30.59,25.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Bryn Oerog. Altitude from OS maps; there is no figure on the records. Gauge moved about 750m W in Sept 1920, note records suggest the move is 1 mile, maybe this is by road.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
