LOCH DOON (DAM),,,,,,,,,,,,
Grid ref,NS477013,Long,-4.399437,Lat,55.282215,,,,,,,
Station no,5257/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,2.44,6.80,6.08,4.59,,,,,,
February,,,1.88,4.99,1.92,1.68,,,,,,
March,,,0.59,5.18,3.14,3.89,,,,,,
April,,,2.23,1.85,2.41,1.45,,,,,,
May,,,3.06,4.70,3.86,3.11,,,,,,
June,,,1.69,5.47,3.00,3.72,,,,,,
July,,,5.16,5.53,1.57,7.34,,,,,,
August,,,3.75,5.40,3.96,7.20,,,,,,
September,,,5.56,10.01,5.83,5.28,,,,,,
October,,,3.91,11.29,4.65,5.55,,,,,,
November,,3.57,7.04,-999.00,4.99,2.73,,,,,,
December,,5.37,4.10,12.92,10.14,8.66,,,,,,
Total,,,41.41,86.68,51.55,-999.00,,,,,,
Calc annual,0.00,8.94,41.41,74.14,51.55,55.20,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,12.54,-0.00,-1054.20,NaN,NaN,NaN,NaN,,
