BLACKBURN (GUIDE RESERVOIR),,,,,,,,,,,,
Grid ref,SD698264,Long,-2.459263,Lat,53.733110,,,,,,,
Station no,2949,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.49,3.98,1.96,5.33,2.57,5.05,3.22,4.84,2.77,5.85,,
February,4.32,1.35,1.43,3.67,1.95,0.89,3.51,7.50,0.72,3.71,,
March,5.19,1.95,2.08,3.05,2.24,1.58,3.22,1.71,1.93,1.27,,
April,2.68,3.72,3.43,0.96,3.27,3.26,0.46,1.33,3.13,2.94,,
May,1.87,2.58,2.92,3.00,4.51,1.77,2.49,5.09,1.43,2.04,,
June,1.37,3.68,2.90,3.21,3.57,2.73,1.88,4.23,3.35,1.48,,
July,2.94,2.94,4.67,6.47,1.06,5.38,5.45,4.16,4.73,8.21,,
August,4.38,5.82,5.76,7.09,1.18,12.09,6.11,4.61,0.60,4.48,,
September,3.00,4.39,5.04,5.42,4.13,3.79,7.62,4.95,0.44,3.14,,
October,1.10,4.82,2.53,8.15,3.34,2.95,6.57,4.69,5.50,4.18,,
November,8.42,2.61,6.23,8.38,2.87,1.93,2.11,1.81,5.59,8.02,,
December,8.32,3.88,2.01,6.71,5.95,5.50,6.02,4.42,9.21,4.80,,
Total,48.08,41.72,40.96,61.44,36.64,46.92,48.66,49.34,39.40,50.12,,
Calc annual,48.08,41.72,40.96,61.44,36.64,46.92,48.66,49.34,39.40,50.12,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
