"LAMMERMUIR HILLS, BLYTHE RIG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT581548,Long,-2.6696657,Lat,55.784686,Elevation,1200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.32,,,5.67,3.3,4.92,3.64,1.98,2.74,2.73,3.81,3.52,5.83,2.09,3.13,2.31,3.11,2.33,3.05,2.11,,,,,
February,,,,,,,5.38,,,3.66,2.27,0.87,2.88,6.96,1.52,7.52,3.84,1.21,2.56,1.75,1.87,3.23,1.01,3,0.15,2.63,,,,,
March,,,,,,,4.65,,,4.09,3.79,2.85,3.1,1.38,0.63,3.5,1.73,3.18,5.79,0.28,2.65,2.45,3.85,1.63,6.17,1.59,,,,,
April,,,,,,,4.24,,,4.6,3.4,0.73,3.45,3.27,1.23,4.34,2.33,1.82,1.75,2.03,2.79,4.66,3.49,2.46,5.6,3.9,,,,,
May,,,,,,,4.28,,,1.07,3.06,1.75,0.84,4.45,5.52,4.12,3.58,3.15,1.79,2.59,1.23,2.89,2.85,1.59,3.38,1.66,,,,,
June,,,,,,,3.51,,,2.07,0.57,0.8,2.12,1.8,1.64,0.93,4.57,3.98,5.63,2.93,2.13,4.71,1.53,1.68,2.56,3.53,,,,,
July,,,,,,,4.57,,,1.05,3.3,2.49,5.69,1.79,5.42,0.87,3.35,6.39,1.69,3.78,4.09,3.9,3.1,3.69,3.53,1.53,,,,,
August,,,,,,,4.12,,,2.54,4.9,4.45,2.76,5.43,3.41,2.66,2.77,8.59,6.65,5.11,6.13,6.31,1.06,1.69,4.24,3.77,,,,,
September,,,,,,,3.33,,,2.28,1.98,2.3,2.79,3.21,5.2,5.54,4.2,7.98,2.55,0.27,5.96,2.11,3.16,2.13,2.62,3.42,,,,,
October,,,,,,,6.1,,,5.45,2.82,2.78,4.47,3.38,3.47,2.9,5.16,3.96,5.18,4.03,4.55,2.27,7.79,5.23,4.63,6.82,,,,,
November,,,,,,3,7.74,,,7.77,2.25,2.42,1.72,3.76,1.8,2.11,5.77,4.58,5.1,4.6,5.22,4.59,1.57,4.15,4.73,4.93,,,,,
December,,,,,,8.3,3.73,,,5.4,4.94,2.52,3.6,4.18,4.22,3.38,0.85,2.23,2.76,5.49,2.98,1.9,3.76,2.07,5.53,2.6,,,,,
Total,,,,,,,53.97,31.97,30.86,45.65,36.58,28.88,37.06,41.59,36.8,40.6,41.96,50.59,47.28,34.95,42.73,41.33,36.28,31.65,46.19,38.49,,,,,
