DERBY-HOLMESIDE-HAZELWOOD-5-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK325460,Long,-1.5170696,Lat,53.010328,Elevation,500,ft.,,,,,,,,,,,,
Station no,RR6138,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,3.26,2.36,0.95,1.19,3.58,1.81,1.76,1.54,2.02,4.04,1.14,,,
February,,,,,,,0.52,0.34,1.27,1.74,0.69,0.15,1.82,3.23,2.84,0.27,0.89,,,
March,,,,,,,3.71,1.49,2.57,3.27,1.6,1.25,1.07,0.48,1.51,2.17,3.48,,,
April,,,,,,,1.85,1.11,1.66,2.76,0.53,3.12,0.94,0.65,2.63,2.1,1.03,,,
May,,,,,,,5.72,1.62,0.69,3.59,2.11,3.27,2.98,2.85,1.63,0.65,0.29,,,
June,,,,,,,1.46,0.64,1.98,0.54,3.11,4.57,5.01,1,2.33,1.97,1.73,,,
July,,,,,,,2.91,1.23,6.08,2.81,2.14,2.44,2.54,3.24,2.7,4.66,1.94,,,
August,,,,,,,1.69,2.01,2.55,2.94,2.62,4.32,2.96,1.96,2.1,2.37,2.35,,,
September,,,,,,,1.69,2.52,1.24,2.53,1.55,1.56,2.95,1.51,0.56,0.64,4.67,,,
October,,,,,,5.46,5.92,1.63,0.94,3.33,1.91,4.4,3.13,1.96,2.65,2.74,2.91,,,
November,,,,,,3.31,1.81,2.04,4.25,1.12,3.77,3.31,1.76,1.41,2.2,3.56,1.45,,,
December,,,,,,0.84,2.95,1.91,2.47,2.06,1.02,4.32,1.17,2.84,2.37,2.51,4.87,,,
Total,,,,,,,33.49,18.9,26.65,27.88,24.63,34.52,28.09,22.67,25.54,27.68,26.75,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Holmside in Hazelewood. Altitudes match as does distance from church but direction does not match,,,,,,,,,,,,,,,,,,,,
Note says glass reads 5% too little until new gauge installed in March 1895. This is not borne out by comparison with 8 inch gauge,,,,,,,,,,,,,,,,,,,,
