DERBY-HOLMESIDE-HAZELWOOD-8-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK325460,Long,-1.5170696,Lat,53.010328,Elevation,500,ft.,,,,,,,,,,,,
Station no,RR6138,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.9,1.12,3.45,1.8,1.7,1.65,2.25,4.3,1.16,,,
February,,,,,,,,,1.16,1.75,0.68,0.15,1.45,3.35,2.93,0.19,0.93,,,
March,,,,,,,,,2.61,3.17,1.42,1.18,0.9,0.48,1.55,2.2,3.53,,,
April,,,,,,,,,1.69,2.74,0.42,3.08,0.84,0.67,2.75,2.15,1.02,,,
May,,,,,,,,,0.68,3.64,2.08,3.12,3.02,2.86,1.79,0.62,0.26,,,
June,,,,,,,,,2.02,0.55,3.1,4.51,5.1,1.1,2.38,2,1.7,,,
July,,,,,,,,,6.08,2.83,2.09,2.4,2.65,2.94,2.82,4.66,1.93,,,
August,,,,,,,,,2.48,2.85,2.62,4.21,3.1,2.1,2.19,2.37,2.32,,,
September,,,,,,,,,1.22,2.54,1.54,1.48,3.03,1.58,0.59,0.65,4.85,,,
October,,,,,,,,,0.89,3.31,1.85,4.23,3.19,2.08,2.77,2.85,2.9,,,
November,,,,,,,,,4.22,1.03,3.8,3.12,1.86,1.52,2.3,3.76,1.46,,,
December,,,,,,,,,2.52,1.82,1.1,4.1,1.27,3.07,2.47,2.6,4.95,,,
Total,,,,,,,,,26.47,27.35,24.15,33.38,28.11,23.4,26.79,28.35,27.01,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Holmside in Hazelewood. Altitudes match as does distance from church but direction does not match,,,,,,,,,,,,,,,,,,,,
May 1892 and 1892 total in brackets because gauge moved 50 yards; readings left in this record,,,,,,,,,,,,,,,,,,,,
