SIDCUP-HATHERLEY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ463719,Long,0.10298605,Lat,51.427228,Elevation,170,ft,,,,,,,,,,,,
Station no,RR6939,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,2.35,1.75,0.54,1.7,2.69,1.53,0.68,1.82,0.58,2.77,2.57,0.78,0.68,2.21,2.7,,,,,
February,0.93,0.08,1.64,3.21,1.6,0.32,0.35,2.05,0.98,2.17,4.63,1.32,0.9,1.64,3.06,,,,,
March,2.49,2,1.49,0.41,0.76,1.28,3.09,3.58,1.32,0.7,1.13,2.38,1.66,2.19,1.43,,,,,
April,2.03,0.65,1.4,0.4,1.81,1.32,0.63,1.31,1.1,2.96,0.86,1.88,0.74,2.01,0.97,,,,,
May,1.32,2.95,1.1,0.42,1.49,0.48,0.27,1.58,3.23,1.45,1.23,1.42,3.17,2.18,2.24,,,,,
June,2.26,1.2,3.83,1.15,2.26,0.17,2.96,3.07,1.49,1.07,2.71,1.47,2.98,6.16,0.77,,,,,
July,3.4,3.63,2.04,2.28,3.09,3.27,1.55,0.7,0.63,0.93,1.1,2.32,1.44,6.38,1.93,,,,,
August,2.16,3.4,3.61,0.76,4.17,1.94,1.92,2.34,1.04,1.02,2.35,1.73,3.67,3.97,1.48,,,,,
September,0.47,0.71,1.75,1.15,1.77,0.83,5.13,2.63,0.39,2.55,0.64,1.29,0.88,2.11,1.19,,,,,
October,1.14,5.54,4.29,4.02,6.9,2.9,3,0.45,2.93,2.27,1.64,2.82,1.7,5.9,1.92,,,,,
November,1.83,2.13,1.92,2.23,3.72,3.45,1.46,1.15,3.11,3.94,2.33,0.92,1.64,2.42,1.59,,,,,
December,0.98,3.18,1.38,2.58,1.84,2.29,2.93,2.56,2.29,1.58,2.51,3.63,1.73,1.79,2.53,,,,,
Total,21.36,27.22,24.99,20.31,32.1,19.78,23.97,23.24,19.09,23.41,23.7,21.96,21.19,38.96,21.81,,,,,
