"GLEN GARRY KINGIE CAMP",,,,,,,,,,,,
Grid ref,NH102014,Long,-5.131974,Lat,57.064417,,,,,,,
Station no,5709/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,13.93,11.66,5.83,8.21,18.31,10.67,3.81,5.60,,
February,,,9.33,5.02,4.91,6.72,6.68,5.42,6.06,6.75,,
March,,,4.00,5.48,2.75,4.45,5.58,2.52,6.08,0.96,,
April,,,6.30,3.67,4.85,4.08,2.59,5.15,6.70,7.35,,
May,,,5.56,4.65,4.90,8.17,1.56,7.48,2.55,2.81,,
June,,,1.57,4.81,4.03,3.76,4.91,2.20,6.98,3.02,,
July,,,6.49,4.39,1.67,7.12,5.46,2.97,8.57,3.69,,
August,,,6.93,5.77,3.17,5.97,8.97,4.91,5.03,6.37,,
September,,,8.24,10.70,10.70,7.95,7.95,5.04,3.48,5.34,,
October,,,6.78,16.61,8.94,10.08,12.89,11.47,11.66,1.42,,
November,,,18.74,11.67,3.69,11.37,3.62,2.36,10.23,7.13,,
December,,,9.43,22.87,16.70,19.12,16.86,8.31,12.13,11.30,,
Total,,,97.30,107.30,72.14,97.00,95.38,68.50,83.28,61.74,,
Calc annual,0.00,0.00,97.30,107.30,72.14,97.00,95.38,68.50,83.28,61.74,,
Difference,NaN,NaN,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
