CRAVEN-ARMS-STOKESAY-COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SO445785,Long,-2.8171725,Lat,52.401683,Elevation,432,ft.,,,,,,,,,,,,
Station no,RR8047,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.46,0.78,1.05,2.46,0.55,3.8,3.94,0.47,,,,,
February,,,,,,,,1.44,1.57,0.75,3.63,1.87,1.72,1.52,3.23,,,,,
March,,,,,,,,1.2,3.47,2.78,0.79,1.5,4.7,5.6,2.9,,,,,
April,,,,,,,,2.23,3.21,2.41,1.81,1.27,0.08,4.94,1.03,,,,,
May,,,,,,,,2.83,2.84,1.09,2.17,1.85,2.11,2.64,1.1,,,,,
June,,,,,,,,2.41,2.09,3.57,2.03,2.57,4.17,1.32,1.78,,,,,
July,,,,,,,,2.49,1.97,2.16,2.36,0.47,2.8,0.72,4.34,,,,,
August,,,,,,,,2.34,4.02,1.7,4.59,1.37,6.95,1.58,2.94,,,,,
September,,,,,,,,0.7,2.11,3.35,0.39,1.74,0.88,2.19,0.95,,,,,
October,,,,,,,,6.76,1.32,4.18,4.39,2.06,3.19,5.53,2.35,,,,,
November,,,,,,,,2.62,2.06,0.69,4.67,3.87,2.18,2.48,3.26,,,,,
December,,,,,,,,3.1,3.63,4.62,6.2,7.14,3.61,1.53,6.46,,,,,
Total,,,,,,,,29.58,29.07,28.35,35.49,26.26,36.19,33.99,30.81,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Stokesay Court at a position that matches the altitude,,,,,,,,,,,,,,,,,,,,
