KIRRIEMUIR (CLINTLAW),,,,,,,,,,
Grid ref,NO258616,Long,-3.214614,Lat,56.740115,Elevation,1040,ft,,
Station no,5581/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.5
February,,,,,,,,,,7.3
March,,,,,,,,,,3.3
April,,,,,,,,,,5.2
May,,,,,,,,,,3.2
June,,,,,,,,,,2.9
July,,,,,,,,,,3.6
August,,,,,,,,,,6.6
September,,,,,,,,,,4.34
October,,,,,,,,,,9.1
November,,,,,,,,,,6.4
December,,,,,,,,,,3.6
Total,,,,,,,,,,60.04
,,,,,,,,,,
,,,,,,,,,,
Station no,5581/1,,,,,,,,,
Midas,15222,,,,,,,,,
Hyd Stn,873151,,,,,,,,,
RR No,RR4040,,,,,,,,,
