"SHAWS W.W. SPANGO BURN",,,,,,,,,,,,
Grid ref,NS240732,Long,-4.818038,Lat,55.919590,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.30,3.40,6.60,11.00,7.10,5.30,8.20,5.10,10.50,7.50,,
February,3.70,2.20,1.80,13.30,5.60,5.70,4.90,6.20,5.20,4.10,,
March,0.40,2.60,5.60,10.90,3.50,6.50,5.40,6.60,7.60,2.00,,
April,3.90,4.50,2.40,2.50,6.60,4.40,2.20,4.80,2.00,5.20,,
May,5.10,1.70,2.70,4.20,3.90,3.20,7.40,6.50,3.70,4.30,,
June,3.70,4.10,1.60,2.30,3.10,1.60,2.10,6.30,4.20,3.30,,
July,4.40,1.90,5.60,5.30,2.80,4.20,4.60,3.20,5.40,6.20,,
August,6.00,6.20,4.70,11.80,6.40,6.40,5.60,9.00,5.50,4.40,,
September,6.30,5.00,5.60,4.80,6.70,3.70,4.60,2.20,12.10,2.80,,
October,9.30,6.90,4.50,13.90,5.10,5.80,10.00,7.50,1.60,10.30,,
November,7.50,7.40,6.10,5.20,4.60,7.60,7.80,6.70,6.20,4.00,,
December,12.60,5.30,8.10,7.70,7.40,7.20,6.20,9.30,8.20,11.20,,
Total,73.20,51.20,55.30,92.90,62.80,61.60,69.00,73.40,72.20,65.30,,
Calc annual,73.20,51.20,55.30,92.90,62.80,61.60,69.00,73.40,72.20,65.30,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
