GREENOCK WW SPANGO BURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS240732,Long,-4.818038,Lat,55.91959,Elevation,757,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,7.4,11.7,8.6,11.2,4.1,6.8,10.4,11.3,5.6,4.4,1.6,10.8,8.2,9.6,5.1,11.6,7.7,9.6,10.6,5.8,7,8,4.8,8.9,5.2,4.6,10,8.2,2.4,5.3
February,5.8,0.2,7.2,1.4,8.8,4.2,7.4,4,10.1,2.9,6.2,2.7,7.9,2.9,10.5,4.5,1.8,8.7,8.2,7.5,4.6,3.2,4.3,7.5,4.5,2.1,4.6,4.9,3.5,6.5
March,1.8,3.2,5.8,3.7,2.5,4.3,1.9,9.3,4.6,6.2,3.6,6.7,4.2,1.7,5.7,3.9,5.7,8.1,4,4.8,5.6,5.6,2.1,5.7,2.7,4.3,7.6,2.4,4.7,3.7
April,2.6,5.5,4.1,4.8,4.3,2,4,1.4,4.3,4.1,3.3,3.3,6,4.5,2.7,3.7,10,4.3,10.6,4.2,4.2,3.2,3,4.2,5.2,2.2,3.8,2.8,5.7,7.9
May,6.2,3.3,4.4,5.1,0.8,3.1,2,5.7,1.9,1.1,2.7,3.9,4.2,6.5,6.1,1.6,5.5,2,2.9,2,2.3,2.1,3.5,4.9,5.3,4.2,2.6,5.4,1.6,3.4
June,8.3,2.1,3.3,4.3,5.5,2.7,5.1,8.8,2.7,1.4,2.2,2.7,5.2,6.6,5,5.1,5.4,6.8,1.7,2.9,2.7,5,1.9,5.7,4,3.8,3.2,4.3,4.3,4
July,6.2,4.5,5.1,3.9,3.6,8.1,6.3,6.1,7.4,4.1,4.1,5.3,3.1,5.9,5.7,4.8,5.9,7.2,3,6.6,4.8,3.6,8,4.4,1.8,5.8,6.5,6.7,8.9,7
August,2.8,4.3,5,6.9,3.5,4.4,4.6,3.8,3,3.8,6.6,7.5,10.7,4.9,3.2,3.9,0,9.5,6.3,8.8,5.5,5.8,6.7,5.7,1.6,6.1,5.8,6.1,2.4,3.5
September,2.2,6.1,1,7.5,8.5,5.1,5.9,6.8,3.5,6,2.3,8.9,6.1,7.1,7.9,8.8,7.5,10.5,3.5,12.5,5.9,4.9,8.8,9.7,6.8,5.4,4.6,5.8,2.3,4.6
October,7.1,8.8,3.5,10.9,14.6,9,3.8,14.1,5.4,8.2,7.9,10.9,14.9,8.2,8.9,0.5,4.5,13.4,8.9,8,2.2,7.4,6.3,12.2,6.6,4.4,7.4,6.2,7.8,5
November,9.7,6.2,4.2,4.4,6.9,5.8,2.2,13.5,12.5,9.3,8.2,1.5,4.9,10.3,1,8.7,10.4,6.6,7.9,5.2,9.9,2.5,11.5,10.4,3.9,3.5,3.1,3.2,8.5,9.8
December,8.5,13,2.7,11.5,4.8,11.4,4.7,7.8,3.1,8.8,4.6,11.9,4.2,8.2,6.6,9.4,4.8,9.7,12,2.4,12.4,7.8,7.5,9.8,10.2,10.3,8.3,7.7,11.7,8.7
Total,68.6,68.9,54.9,75.6,67.9,66.9,58.3,92.6,64.1,60.3,53.3,76.1,79.6,76.4,68.4,66.5,69.2,96.4,79.6,70.7,67.1,59.1,68.4,89.1,57.8,56.7,67.5,63.7,63.8,69.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge move approx 150yds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Gauge Dec 1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
