"SEVENOAKS KEMSING PUMPING ST",,,,,,,,,,,,
Grid ref,TQ569577,Long,0.249074,Lat,51.296812,,,,,,,
Station no,384,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.29,5.38,1.20,1.66,1.07,,
February,,,,,,1.25,2.46,2.17,1.69,0.73,,
March,,,,,,4.17,1.86,1.03,3.10,4.00,,
April,,,,,,2.63,1.09,2.50,3.04,1.75,,
May,,,,,,1.19,1.54,2.46,2.05,1.54,,
June,,,,,,5.11,2.72,2.21,1.64,3.04,,
July,,,,,,,0.86,1.37,3.41,3.96,,
August,,,,,,,0.73,2.08,4.72,2.38,,
September,,,,,,-999.00,1.91,0.75,1.33,3.74,,
October,,,,,,,5.28,4.77,2.33,6.37,,
November,,,,,,4.45,6.02,2.18,1.09,1.41,,
December,,,,,,0.80,1.96,2.96,2.62,4.30,,
Total,,,,,27.45,29.87,31.81,25.68,28.68,34.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,20.89,31.81,25.68,28.68,34.29,,
Difference,NaN,NaN,NaN,NaN,27.45,8.98,0.00,0.00,0.00,0.00,,
