LAUNCESTON (OLD FREE HOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7243,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.30,4.15,5.28,2.98,5.67,4.43,,,,,,
February,1.27,0.33,4.64,10.90,1.75,7.14,,,,,,
March,4.20,3.38,4.14,2.05,2.32,0.70,,,,,,
April,5.20,0.79,4.67,3.65,3.77,2.96,,,,,,
May,2.09,2.31,1.31,2.69,3.39,4.38,,,,,,
June,1.91,0.07,1.19,0.69,1.96,0.02,,,,,,
July,5.38,1.44,3.62,1.38,5.27,4.09,,,,,,
August,2.18,2.65,3.79,3.51,4.56,3.76,,,,,,
September,2.05,1.42,3.43,4.05,4.26,4.53,,,,,,
October,6.58,1.61,1.46,7.97,7.34,4.83,,,,,,
November,3.76,4.31,2.94,5.07,4.25,4.73,,,,,,
December,4.30,3.05,6.85,5.44,7.05,5.08,,,,,,
Total,47.22,25.51,43.32,50.38,51.59,46.65,,,,,,
Calc annual,47.22,25.51,43.32,50.38,51.59,46.65,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,
