ENTWISTLE MOOR TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD910337,Long,-2.1372,Lat,53.7998,Elevation,1308,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2968/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,6.26,6.69,2.73,2.15,5.55,7.31,7.43,4.81,5.86,5.02,9.98,3.6,4.18,6.52,6.31,1.93,4.86,2.75,5.87,4.88,6.29,3.86,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.23,4.7,1.85,7.07,2.13,3.5,2.78,5.8,6.94,2.5,3.54,4.51,6.24,4.57,1.96,2.46,3.72,3.13,1.96,5.12,9.3,0.82,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.38,3.09,3.06,4.76,4.4,1.28,0.86,1.84,1.66,7.59,2.97,2.48,2.98,5.74,2.36,2.35,3.96,2.91,2.12,4.83,2.34,2.17,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.94,2.36,3.61,2.71,2.18,2.63,2.99,2.76,1.36,5.35,2.8,4.53,3.59,3.14,3.47,3.79,0.93,2.7,3.77,0.33,1.55,4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,4.15,1.71,1.2,2.55,3.73,3.35,3.52,4.86,2.03,2.98,1.66,2.77,2.28,2.8,2.16,2.9,4.31,4.54,2.24,1.67,5.53,1.99,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,4.31,3.26,0.93,0.48,1.42,3.74,4.12,4.61,3.42,3.49,5.69,0.65,3.04,1.75,3.33,3.21,3.39,3.51,2.9,2.2,5.47,3.81,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,5.12,7.08,4.88,1.98,5.38,3.08,3.27,2.96,3.95,4.68,2.24,2.49,5.65,5.48,2.99,6.46,6.18,1.03,5.85,6.27,4.03,3.44,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,6.42,3.95,2.42,5.99,4.05,6.6,3.88,4.2,7.63,0.27,4.85,3.48,7.6,4.89,6.31,7.13,8.33,1.27,12.6,7,5.16,0.86,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.14,1.55,4.12,0.73,2.97,4.84,6.95,3.1,8.4,3.4,3.54,1.41,9.36,2.87,4.97,5.48,6.11,3.84,5.15,7.07,5.41,0.27,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,10.77,2.32,5.02,5.22,8.07,3.19,5.22,6.5,1.29,1.36,2.67,6.05,3.25,1.41,5.75,2.49,8.73,3.69,2.81,6.34,4.64,5.96,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
