KILMORY HOUSE NR LOCHGILPHEAD (Thoms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 869 867,Long,-5.421775,Lat,56.025396,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,3.2,12.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,5.2,7,10.9,6.5,11.5,7.6,4.9,7,10.2,10.8,8,10,5.7,11.2,8.4,2.5
February,,,,,,6.6,3.35,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3.1,8.1,8.2,7.6,9.5,7.3,5.1,7.2,5.8,1.2,3,1.9,5.2,9,3.4,2.1
March,,,,,,4,8.75,2.65,,,,,,,,,,,,,,,,,,,,,,,,,3,3.5,5.2,3.5,4.3,2.1,8.5,1.9,7.6,4.9,4.8,2.4,7.4,2.7,8.6,4,3.67,6
April,,,,,,2.5,4.85,3.2,,,,,,,,,,,,,,,,,,,,,,,,,4.9,5.5,3,1.7,2.5,9.1,4.5,2.1,3.3,3.8,2,0.8,4,3.2,1.9,2.8,3,1.5
May,,,,,,8.9,0.06,2.15,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.4,2.1,4.2,1.8,3.1,4.5,0.6,5.6,1.9,3,2.5,1.7,3.9,0.6,2.5,3.2,2.7
June,,,,,,2.3,4.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4,3.8,1.5,3.1,2.8,2.6,3.1,2.8,2.2,8.4,2.8,1.5,3.3,4.8,5.8,2.8,4
July,,,,,,3.8,9.15,2.1,,,,,,,,,,,,,,,,,,,,,,,,,6.4,0.3,5.2,4.1,3.4,4.1,1.4,3.5,4.8,4.7,4.1,7,4.6,1.7,4.4,6.2,1.1,6.8
August,,,,,,5.4,4.5,5,,,,,,,,,,,,,,,,,,,,,,,,,3,6.5,3.6,6,6.4,4.3,7.8,1.3,2,4,4.9,6.6,5.7,6.1,6.5,6.2,4.8,5.4
September,,,,,,5.9,7.85,3.75,,,,,,,,,,,,,,,,,,,,,,,,,3.3,10,8,2,8.6,5.5,1.5,8.7,4.7,1.9,10.3,6,8,5.2,3.6,1.94,7.4,8.6
October,,,,,,4.1,5.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,,11.5,7.1,3.6,4.5,5.8,9.6,9.1,3.4,10.1,4.5,5.7,9.6,11.5,6.9,8.5,12.3,10.6,3.5
November,,,,,,9,8.95,5.1,,,,,,,,,,,,,,,,,,,,,,,,,4.7,6.6,6.5,5.9,7.1,3.7,6.7,9.3,2.2,6.6,8.6,4.5,7.2,5.8,2.3,12.33,1.75,2.3
December,,,,,,5.3,6.8,6.93,,,,,,,,,,,,,,,,,,,,,,,,,10,11.7,4.2,6.7,11.3,6.8,7.6,8.4,6.6,7.6,7.4,5.5,3,6.2,6.9,11.6,2.65,4.4
Total,,,,,,61,76.26,51.88,,,,,,,,,,,,,,,,,,,,,,,,,,75.5,53.5,55.2,73.4,65.2,75.2,57.2,53.7,56.3,75.2,59.7,65.6,56.9,59,85.87,52.77,49.8
