KILMORY HOUSE NR LOCHGILPHEAD (Bottle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 869 867,Long,-5.421775,Lat,56.025396,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,11.27,7.06,,7,,10.99,8.41,11.49,6.2,11.27,8.86,2.5,3.63,,,,,,,,,
February,,,,,,,,,10.97,7.25,,7.2,,1.23,3.3,2.13,5.28,9.08,3.14,2.02,,,,,,,,,,
March,,,,,,,,,8.7,2.02,,4.9,,2.43,8.16,2.82,9.23,3.96,4.04,5.91,,,,,,,,,,
April,,,,,,,,,4.34,2.28,,3.8,,0.86,4.3,3.5,1.56,2.81,3.1,1.5,,,,,,,,,,
May,,,,,,,,,4.53,0.7,,1.9,,3.18,1.95,4.11,0.8,2.56,3.16,2.77,,,,,,,,,,
June,,,,,,,,,2.89,3.14,,2.2,,2.84,1.9,3.8,4.38,5.84,4.04,4.05,,,,,,,,,,
July,,,,,,,,,2,3.81,,4.7,,7.29,4.87,1.93,4.35,6.34,1.25,7.08,,,,,,,,,,
August,,,,,,,,,8.06,1.45,,4,,6.92,5.91,6.43,6.76,6.24,4.96,5.39,,,,,,,,,,
September,,,,,,,,5.37,1.52,8.95,,1.9,,5.88,8.54,5.52,3.66,2.4,8.27,8.93,,,,,,,,,,
October,,,,,,,,8.89,9.26,3.5,,4.5,,9.92,12.58,7.63,8.32,11.47,10.92,3.89,,,,,,,,,,
November,,,,,,,,3.7,5.93,9.9,,6.6,,4.75,7.81,6.53,2.21,12.52,1.8,2.31,,,,,,,,,,
December,,,,,,,,6.81,8.2,8.74,,7.6,,5.9,3.15,6.58,6.79,11.7,2.85,5.57,,,,,,,,,,
Total,,,,,,,,,77.67,58.8,,56.3,,62.19,70.88,62.47,59.54,86.19,56.39,51.92,,,,,,,,,,
