KILMORY HOUSE NR LOCHGILPHEAD (Green),,,,,,,,,,
Grid ref,NR 869 867,Long,-5.421775,Lat,56.025396,Elevation,40,ft,,
Station no,RR111,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,3.6,0.9,7.6,7.8,,,,,,
February,,5,4.9,,,,,,,
March,,7,7,,,,,,,
April,,2,2.49,,,,,,,
May,1.9,2.3,3.1,,,,,,,
June,3,6.4,4.1,,,,,,,
July,3,5.6,7.9,,,,,,,
August,2.4,3.5,4,,,,,,,
September,3.67,2.8,7.5,,,,,,,
October,1.3,3.5,4.5,,,,,,,
November,7.55,8.5,11.6,,,,,,,
December,8.5,8.2,7,,,,,,,
Total,,55.7,71.69,,,,,,,
