KILMORY HOUSE NR LOCHGILPHEAD (Snowdon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 869 867,Long,-5.421775,Lat,56.025396,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,5.51,10.8,8.26,2.41,3.41,0.8,7.32,7.92,10.4,5.07,6.84,5.49,5.71,8.47,11.57,5.58,5.82,3.9,9.32,1.85,4.09,1.8,5.09,7.63
February,,,,,,,4.82,8.56,2.97,1.97,5.99,4.92,4.79,7.94,5.77,7.41,2.55,5.57,2.15,4.81,1.23,1.43,3.05,6.37,11.74,1.12,4.85,4.02,6.54,3.2
March,,,,,,,8.65,3.67,3.63,5.73,4.74,6.51,6.84,3.09,4.97,4,3.5,3.54,4.6,2.78,6.35,4.94,1.12,4.05,5.46,4.42,8.78,6.11,2.92,5.03
April,,,,,,,1.5,2.7,3.01,1.5,3.43,2.05,2.53,3.44,1.3,2.51,3.59,2.93,3.03,3.28,3.15,7.5,1.94,2.77,2.43,3.24,4.31,3.48,4.56,6.6
May,,,,,,,0.8,2.51,3.08,2.72,1.96,2.57,3.22,3.06,5.07,3.11,4.12,1.61,5.78,3.04,2.45,1.89,7.26,2.75,3.48,0.27,0.95,3.21,3.54,3.35
June,,,,,,,5.08,5.67,3.95,4.03,3.17,5.68,4.21,4.39,1.35,2.69,2,1.74,4.34,1.44,5.33,2,4.69,1.09,2.94,2,3.75,7.51,4.77,2.67
July,,,,,,,4.4,5.99,1.14,6.86,3.32,5.59,8.33,2.57,5.26,3.04,4.28,3.72,5.94,0.92,4.59,1.57,4.56,6.31,3.77,4.32,4.21,3.61,3.34,5.44
August,,,,,,,6.55,6.34,4.93,5.28,2.43,3.53,4.05,6.54,6.47,3.79,3.23,5.48,4.24,5.82,4.86,6.72,5.21,6.36,5.89,6.62,3.83,5.51,6.85,4.04
September,,,,,,,3.57,2.3,7.9,8.61,3.72,2.8,7.61,2.54,5.87,10.97,6.76,4.83,2.61,3.59,8.13,7.51,7.49,5.15,0.24,3.04,7.01,6.3,8.63,7.27
October,,,,,,,8.16,11.13,10.55,3.67,1.25,3.55,4.58,7.52,7.18,5.58,5.32,3.11,4.22,5.56,6.33,10.73,4.49,9.27,2.94,4.85,4.8,3.98,4.33,5.73
November,,,,,,,2.16,11.98,1.68,2.27,7.47,8.59,11.89,9.11,6.92,4.32,8.34,4.34,7.84,4.09,11.91,5.29,7.67,5.67,6.97,6.67,3.99,4.36,7.35,5.6
December,,,,,,,6.8,11.16,2.64,5.05,8.31,8.05,7.01,9.61,9.14,5.6,6.19,6.23,5.66,7.96,1.53,9.44,4.62,7.96,6.49,7.58,8.01,7,11.18,5.64
Total,,,,,,,58,82.81,53.74,50.1,49.2,54.64,72.38,67.73,69.7,58.09,56.72,48.59,56.12,51.76,67.43,58.6,57.92,61.65,61.67,45.98,58.58,56.89,69.1,62.2
