DOLGAROG ALUMINIUM WORKS,,,,,,,,,,,,
Grid ref,SH771677,Long,-3.840980,Lat,53.192142,,,,,,,
Station no,RR8804,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.84,5.23,,
February,,,,,,,,,4.17,3.29,,
March,,,,,,,,,6.21,4.00,,
April,,,,,,,,,2.17,3.58,,
May,,,,,,,,,2.36,1.29,,
June,,,,,,,,,3.02,2.14,,
July,,,,,,,,,3.33,3.16,,
August,,,,,,,,,5.24,2.66,,
September,,,,,,,,,5.39,6.22,,
October,,,,,,,,,2.09,8.80,,
November,,,,,,,,,5.61,2.07,,
December,,,,,,,,,5.72,8.38,,
Total,,,,,,,,,50.15,50.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.15,50.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
