DOLGAROG-ALUMINIUM-WORKS,,,,,,,,,,,,,,,,,,,,
Grid ref,SH771677,Long,-3.8409795,Lat,53.192142,Elevation,20,ft,,,,,,,,,,,,
Station no,RR8804,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,4.84,5.23,5.17,,,,,,,,,
February,,,,,,,,,4.17,3.29,4.36,,,,,,,,,
March,,,,,,,,,6.21,4,1.99,,,,,,,,,
April,,,,,,,,,2.17,3.58,3.19,,,,,,,,,
May,,,,,,,,,2.36,1.29,2.04,,,,,,,,,
June,,,,,,,,,3.02,2.14,2.59,,,,,,,,,
July,,,,,,,,,3.33,3.16,2.87,,,,,,,,,
August,,,,,,,,,5.24,2.66,7.33,,,,,,,,,
September,,,,,,,,,5.39,6.22,0.44,,,,,,,,,
October,,,,,,,,,2.09,8.8,6.03,,,,,,,,,
November,,,,,,,,,5.61,2.07,7.13,,,,,,,,,
December,,,,,,,,,5.72,8.38,9.37,,,,,,,,,
Total,,,,,,,,,50.15,50.82,52.51,,,,,,,,,
