WILLINGTON RECTORY,,,,,,,,,,,,
Grid ref,NZ209351,Long,-1.677138,Lat,54.710483,,,,,,,
Station no,RR6332,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.55,1.13,,
February,,,,,,,,,1.72,1.51,,
March,,,,,,,,,4.26,4.47,,
April,,,,,,,,,3.14,1.98,,
May,,,,,,,,,1.73,1.69,,
June,,,,,,,,,0.49,2.77,,
July,,,,,,,,,2.42,2.71,,
August,,,,,,,,,1.77,3.05,,
September,,,,,,,,,1.89,2.09,,
October,,,,,,,,,1.81,2.36,,
November,,,,,,,,,1.30,0.57,,
December,,,,,,,,,0.68,3.75,,
Total,,,,,,,,,22.76,28.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.76,28.08,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
