WILLINGTON RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ209351,Long,-1.677138,Lat,54.710483,Elevation,285,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.55,1.13,2.62,1.87,3.44,3.8,1.5,2.33,0.69,3.27,2.17,3.11,3.26,,,,,,,,,,
February,,,,,,,,,1.72,1.51,2.5,0.96,1.64,0.83,1.46,3.08,3.46,0.75,1.43,1.7,0.9,,,,,,,,,,
March,,,,,,,,,4.26,4.47,0.68,2.48,2.18,3.18,1.58,1.61,3.72,2.07,1.16,3.48,3.26,,,,,,,,,,
April,,,,,,,,,3.14,1.98,2.87,0.98,0.15,3.79,0.35,0.79,1.1,1.92,1.62,1.56,3.39,,,,,,,,,,
May,,,,,,,,,1.73,1.69,1.73,0.74,2.17,2.58,1.32,1.98,3.34,2.28,1.83,0.94,3.57,,,,,,,,,,
June,,,,,,,,,0.49,2.77,2.01,3.63,5.4,0.69,4.42,0.28,1.9,1.84,0.31,0.67,0.64,,,,,,,,,,
July,,,,,,,,,2.42,2.71,3.77,0.65,3.1,0.99,2.79,3.62,2.89,1.22,3.67,1.68,3.79,,,,,,,,,,
August,,,,,,,,,1.77,3.05,3.56,1.81,4.61,1.21,1.56,3.87,3.58,6.98,1.73,2.53,1.17,,,,,,,,,,
September,,,,,,,,,1.89,2.09,0.27,1.81,2.2,2.93,1.51,0.81,1.64,0.72,5.06,0.66,1.16,,,,,,,,,,
October,,,,,,,,,1.81,2.36,2.86,2.79,2.34,2.64,2.3,1.14,3.27,2.31,2.08,5.21,,,,,,,,,,,
November,,,,,,,,,1.3,0.57,3.56,4.09,2.1,1.3,3.77,1.54,2.79,1.32,1.36,3.62,,,,,,,,,,,
December,,,,,,,,,0.68,3.75,2.32,3.88,1.86,1,4.98,6.02,2.37,2.57,2.71,2.54,,,,,,,,,,,
Total,,,,,,,,,22.76,28.08,28.75,25.69,31.19,24.94,27.54,27.07,30.75,27.25,25.13,27.7,,,,,,,,,,,
