BUNTINGFORD-WYDDIAL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL376315,Long,0.001420045,Lat,51.964955,Elevation,410,ft,,,,,,,,,,,,
Station no,970/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.34,2.05,3.69,3.85,2.73,3.92,,1.8,2.45,3.94,,,,,,,
February,,,,0.42,2.1,1.81,3.08,0.45,0.58,1.35,1.66,0.93,,,,,,,,
March,,,,1.87,0.48,0.9,2.78,0.34,1.71,2.73,2.74,1.19,,,,,,,,
April,,,,2.08,3.11,1.15,3.05,0.2,2.95,1.65,1,0.72,,,,,,,,
May,,,,0.51,1.76,0.52,2.36,1.91,1.41,1.46,2.18,2.02,,,,,,,,
June,,,,1.9,2.89,4.75,2.1,0.46,1.63,0.33,1.29,0.5,,,,,,,,
July,,,,1.75,0.48,4.87,2.72,1.12,1.75,3.37,2.25,2.23,,,,,,,,
August,,,0.88,2.41,1.09,0.54,0.72,1.09,3.39,0.13,4.18,1.61,,,,,,,,
September,,,2.29,1.2,3.69,3.74,1.97,2.9,3.65,0.63,1,1.09,,,,,,,,
October,,,1.89,1.45,2.77,1.69,2.5,2.79,5.16,2.41,1.78,,,,,,,,,
November,,,1.35,1.93,3.84,2.9,1.8,2.85,3.7,6.67,2.2,1.69,,,,,,,,
December,,,0.35,3.72,2.34,1.64,3.01,3.13,1.26,1.43,1.16,2.27,,,,,,,,
Total,,,,20.58,26.6,28.2,29.94,19.97,31.11,,23.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated,,,,,,,,,,,,,,,,,,,,
1942 Oct estimated,,,,,,,,,,,,,,,,,,,,
