"SILVERBUT HALL, HAWICK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT504157,Long,-2.7853,Lat,55.4335,Elevation,512,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.17,4.85,2.94,4,3.79,2.58,1.81,3.97,5.62,2.11,4.09,1.2,6.43,3.55,0.89,1.3,0.61,1.78,3.02,6.05,,,,,
February,,,,,,1,4.02,1.73,3.48,3.54,2.38,1.91,3.32,1.18,2.16,1.07,4.74,2.55,1.4,2.19,3.28,2.02,2.67,3.36,4.18,,,,,
March,,,,,,1.52,1.93,1.7,3.67,1.15,1.03,2,2.56,1.61,1.88,1.21,3.82,1.98,0.82,2.65,1.62,1.96,3.23,1.91,,,,,,
April,,,,,,0.76,2.22,3.52,3.39,1.32,0.96,4.08,3.03,0.6,1.95,0.97,3.62,3.39,1.9,1.61,2.77,1.6,3.18,1.24,,,,,,
May,,,,,,5.82,1.4,2.46,1.74,2.51,1.93,1.06,3.66,1.91,1.72,1.36,1.11,2.66,3.91,2.05,1.31,2.65,1.49,1.87,,,,,,
June,,,,,,0.27,1.27,1.12,1.25,1.17,1.86,2.87,2.78,1.52,0.78,2.76,2.99,2.17,3.68,3.74,1.29,2.49,4.96,3.64,,,,,,
July,,,,,,2.5,3.87,6.89,0.68,0.58,2.04,3.02,5.62,4.06,2.2,2.54,1.29,4.7,0.84,4.89,4.93,2.31,4.06,4.04,,,,,,
August,,,,,,4.11,3.31,2.31,4.19,1.01,1.54,2.1,4.22,4.09,5.03,2.38,4.34,7.56,4.16,3.58,1.55,5.44,1.96,3.22,,,,,,
September,,,,,,1.03,3.43,2.12,4.06,5.28,1.97,1.95,3.84,2.56,3.33,3.48,2.55,1.67,2.9,2.15,4.24,2.32,2.04,3.52,,,,,,
October,,,,,,5.07,1.28,1.39,2.13,1.94,3.35,2.45,3.86,3.91,4.83,2.54,2.66,4.68,2.32,1.06,2.67,2.7,2.73,3.54,,,,,,
November,,,,,,2.45,3.38,0.33,2.08,2.39,1.71,2.09,4.92,2.37,4.65,3.71,2.8,3.69,4.15,1.98,4.59,4.25,3.21,2.99,,,,,,
December,,,,,,2.39,3.56,1.48,5.68,3.62,1.64,3.16,4.29,1.48,2.81,2.64,6.7,1.85,2.27,1.75,3.2,2.86,3.87,1.83,,,,,,
Total,,,,,,28.09,34.52,27.99,36.35,28.3,22.99,28.5,46.07,30.91,33.45,28.75,37.82,43.33,31.9,28.54,32.75,31.21,35.18,34.18,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_07_pt1-page-052.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1870-1879_11_pt1-page-058.csv CORRECTION May 1871 edited to 1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_14_pt1-page-064.csv ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
