KENDAL (GASWORKS),,,,,,,,,,,,
Grid ref,SD518920,Long,-2.742528,Lat,54.321292,,,,,,,
Station no,3715,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.35,5.90,3.22,4.83,,,,,,,,
February,4.90,1.27,2.82,2.94,,,,,,,,
March,4.64,3.39,1.05,3.35,,,,,,,,
April,2.67,2.79,3.07,,,,,,,,,
May,0.96,2.64,2.51,,,,,,,,,
June,0.79,4.41,3.52,,,,,,,,,
July,3.31,2.02,6.58,,,,,,,,,
August,4.43,5.90,5.42,,,,,,,,,
September,5.30,4.14,7.70,,,,,,,,,
October,0.93,3.29,2.02,,,,,,,,,
November,7.82,2.46,7.52,,,,,,,,,
December,10.85,5.23,3.56,,,,,,,,,
Total,52.95,43.44,48.99,,,,,,,,,
Calc annual,52.95,43.44,48.99,11.12,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
