BRUAR INTAKE,,,,,,,,,,
Grid ref,NN823726,Long,-3.930435,Lat,56.829924,Elevation,1251,ft,,
Station no,5564/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.4,,4.2
February,,,,,,,,2.15,,4.5
March,,,,,,,,1.2,3.25,2
April,,,,,,,1.19,1.15,1.61,3.7
May,,,,,,,1.78,3.7,0.73,2.08
June,,,,,,,2.02,2.4,1.48,1.9
July,,,,,,,4.56,4.38,3.55,2.2
August,,,,,,,,5.24,1.55,2.7
September,,,,,,,,4.74,1.15,3.2
October,,,,,,,3.2,3.17,5.5,3.35
November,,,,,,,1.05,1.38,6.1,3.7
December,,,,,,,4.9,3.67,7.5,5.2
Total,,,,,,,,36.58,,38.73
,,,,,,,,,,
1959 AF est Deleted,,,,,,,,,,
1958 np Low,,,,,,,,,,
1959 np Low,,,,,,,,,,
,,,,,,,,,,
Station no,5564/7,,,,,,,,,
Midas,15186,,,,,,,,,
Hyd Stn,869222,,,,,,,,,
