"BRUAR INTAKE",,,,,,,,,,,,
Grid ref,NN823726,Long,-3.930435,Lat,56.829924,,,,,,,
Station no,5564/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,-999.00,3.40,,4.20,,
February,,,,,,,-999.00,2.15,100.00,4.50,,
March,,,,,,,-999.00,1.20,3.25,2.00,,
April,,,,,,,1.19,1.15,1.61,3.70,,
May,,,,,,,1.78,3.70,0.73,2.08,,
June,,,,,,,2.02,2.40,1.48,1.90,,
July,,,,,,,4.56,4.38,3.55,2.20,,
August,,,,,,,-999.00,5.24,1.55,2.70,,
September,,,,,,,-999.00,4.74,1.15,3.20,,
October,,,,,,,3.20,3.17,5.50,3.35,,
November,,,,,,,1.05,1.38,6.10,3.70,,
December,,,,,,,4.90,3.67,7.50,5.20,,
Total,,,,,,,-999.00,36.58,35.97,38.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,18.70,36.58,132.42,38.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-1017.70,-0.00,-96.45,0.00,,
