SHANKLIN-MIX-(BONDI),,,,,,,,,,,,,,,,,,,,
Grid ref,SZ584820,Long,-1.1755,Lat,50.6355,Elevation,150,ft,,,,,,,,,,,,
Station no,595,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.52,1.75,1.7,3.63,3.55,2.28,5.4,3.08,1.25,1.33,4.07,,,,,,,,,
February,3.09,3.86,0.89,4.38,3.1,4.65,0.85,1.04,1.1,2,1.04,,,,,,,,,
March,0.68,2.78,1.6,0.85,2.5,1.69,3.68,0.71,4.1,2.22,1.36,,,,,,,,,
April,1.91,0.93,3.24,1.55,1.15,0.98,2.27,1.58,1.29,2.01,2.89,,,,,,,,,
May,0.49,1.45,1.7,2.62,1.1,3.17,3.26,1.59,1.68,2.35,2.15,,,,,,,,,
June,2.59,2.2,3.2,1.85,1.05,2.1,1.24,0.77,2.67,0.69,2.41,,,,,,,,,
July,3.07,1.98,3,2.45,2.22,1.06,4.46,1.06,5.28,2.55,4.58,,,,,,,,,
August,1.75,5.09,1.7,0.45,0.97,0.35,1.82,1.55,2.72,2.77,3.73,,,,,,,,,
September,5.05,2.09,3.85,4.7,3.8,5.24,3,4.51,0.84,0.8,1.05,,,,,,,,,
October,6.5,2.7,9.57,2.83,1.16,4.4,4.58,1.23,2.63,8.89,1.24,,,,,,,,,
November,3.59,3.85,4.7,6.1,0.4,4.32,5.41,5.18,4.35,1.78,3.27,,,,,,,,,
December,4.52,1.98,1.98,1.8,5.63,2.29,6.15,2.96,2.03,2.42,0.78,,,,,,,,,
Total,33.76,30.66,37.13,33.21,26.63,32.53,42.12,25.26,29.94,29.81,28.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Bondi was in Clarence Road, but the exact house cannot be found, so NGR is around middle of road as censuses suggest it was there",,,,,,,,,,,,,,,,,,,,
1881 Jan Note says not to be relied upon,,,,,,,,,,,,,,,,,,,,
"1881 Oct, Dec have question marks beside them, as does the year total",,,,,,,,,,,,,,,,,,,,
