HEREFORD (RICHMOND PLACE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO508404,Long,-2.719026,Lat,52.059782,Elevation,188,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,3.77,2.61,5.34,1.96,2.68,4.66,3.37,2.58,3.64,1.97,3.68,1.27,2.05,0.67,1.38,2.24,3.54,,,,,,,,,,,,,,,,,,,,,,,3.68,1.32,0.59,0.91,2.5,1.01,3.65,3.68,0.63,2.33,0.77,1.05,2.85,2.33
February,,,,,,,,1.84,1.37,3.14,1.97,1.31,3.37,1.43,2.61,2.14,2.48,1.36,1.42,3.55,3.79,3.04,2.81,4.26,,,,,,,,,,,,,,,,,,,,,,,1.39,0.83,0.64,0.36,3.39,1.08,1.71,1.21,2.46,3.86,3.87,0.93,0.7,2.52
March,,,,,,,,4,1.4,1.66,1.41,1.11,1.78,2.91,0.78,1.07,2.65,1.8,1.06,0.8,0.92,1.48,1.03,0.94,,,,,,,,,,,,,,,,,,,,,,,0.88,0.56,3.1,2.18,0.54,1.54,4.09,4.87,2.13,0.48,3.99,3.11,1.64,3.77
April,,,,,,,,2.58,1.7,1.16,0.64,2.1,2.72,1.03,1.72,0.85,2.48,2.58,2.78,1.97,1.46,0.7,3.65,0.97,,,,,,,,,,,,,,,,,,,,,,,1.01,2.41,2.78,1.84,2.2,0.86,0.18,4.11,1.25,0.91,0.78,1.16,1.87,1.19
May,,,,,,,,2.68,1.84,4.24,1.02,1,1.38,1.91,1.05,2.87,0.3,2.58,4.91,2.84,2.37,0.68,2.76,1.15,,,,,,,,,,,,,,,,,,,,,,,2.13,2.73,1.62,0.76,1.87,1.27,2.53,2.17,1.46,3.41,2.89,3.07,1.87,0.3
June,,,,,,,,0.89,0.46,0.94,0.22,2.9,3.57,2.94,0.69,2.49,1.23,0.95,2.47,6.01,3.6,2.42,2.83,4.68,,,,,,,,,,,,,,,,,,,,,,,2.45,2.2,0.84,1.72,4.43,1.9,3.96,0.57,2.27,1.03,1.06,1.89,0.49,0.68
July,,,,,,,,3.31,1.23,0.4,1.19,3,5.84,2.48,0.88,4.83,1.06,3.03,1.31,2.09,5.24,1.5,3.52,4.02,,,,,,,,,,,,,,,,,,,,,,,0.46,3.45,1.48,2.4,1.6,0.37,2.89,0.77,4.05,4.39,1.52,2.04,2.07,1.76
August,,,,,,,2.98,1.42,5.19,0.84,1.05,1.56,2.2,2.71,2.18,1.7,2.34,4.54,6.78,5.26,0.28,3.2,2.24,1.19,,,,,,,,,,,,,,,,,,,,,,,1.1,1.47,2.49,1.39,4.63,2.79,6.72,1.27,1.24,2.61,2.25,5.93,1.75,2.41
September,,,,,,,5.63,2.23,3.53,5.92,1.46,6.32,2.13,1.57,4.31,3.58,5.07,1.85,2.56,3.31,2.48,1.76,2.43,4.32,,,,,,,,,,,,,,,,,,,,,,,0.8,0.55,1.94,2.81,0.55,1.43,0.73,3,0.75,0.95,0.78,2.33,6.73,1.32
October,,,,,,,2.47,3.3,1.74,1.4,3.88,3.19,4.09,1.54,2.71,5.17,2.28,1.88,3.89,1.23,5.24,2.14,4.59,3.32,,,,,,,,,,,,,,,,,,,,,,,4.59,7.5,2.14,2.76,3.55,1.96,2.88,4.24,2,3.91,4.16,2.49,0.93,1.71
November,,,,,,,1.07,1.06,1.14,2.36,2.4,1.03,5.57,1.8,2.36,4.49,4.39,2.89,2.88,0.82,2.04,2.87,3.69,3.77,,,,,,,,,,,,,,,,,,,,,,,2.18,2.05,1.26,0.94,3.49,2.71,1.34,2.37,2.54,1.92,2.86,0.87,1.49,0.91
December,,,,,,,1.38,1.09,6.32,3.56,1.43,1.54,4.95,0.77,2.49,1.63,6.63,1.87,2.17,0.76,3.4,2.54,3.01,0.62,,,,,,,,,,,,,,,,,,,,,,,1.64,2.5,2.26,4.34,5.78,7.36,2.97,0.84,5.46,4.95,1.99,0.7,2.04,2.48
Total,,,,,,,,28.17,28.53,30.96,18.63,27.74,42.26,24.46,24.36,34.46,32.88,29.01,33.5,30.69,31.49,23.71,34.8,32.78,,,,,,,,,,,,,,,,,,,,,,,22.31,27.57,21.14,22.41,34.53,24.28,33.65,29.1,26.24,30.75,26.92,25.57,24.43,21.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_03_pt2-page-058.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt1-page-014.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_06_pt4-page-016.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_15_pt1-page-017.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1910-1919_14_pt1-page-173.csv CORRECTION: 1918 May value is 1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
