"SHAP, COPY HILL - monthly gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,NY559144,Long,-2.6814,Lat,54.5231,Elevation,852,ft,,,,,,,,,,,,
Station no,RR1522,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,7.35,2.9,3.15,12.5,6.45,,,,,,,,
February,,,,,,,,4.25,1.2,1.95,1.15,0.15,,,,,,,,
March,,,,,,,,1.5,4.65,2.68,3,,,,,,,,,
April,,,,,,,,3.5,2.8,3.15,1.7,,,,,,,,,
May,,,,,,,,1.55,3.45,2.9,3.45,,,,,,,,,
June,,,,,,,,0.27,1.5,2.3,3.05,,,,,,,,,
July,,,,,,,,2.95,6.55,3.4,4.05,,,,,,,,,
August,,,,,,,,1.68,3.1,4.75,5.75,,,,,,,,,
September,,,,,,,,5.2,0.7,1.15,3.05,,,,,,,,,
October,,,,,,,,2.1,9.5,7,2.3,,,,,,,,,
November,,,,,,,,3.75,8.3,2.8,8.2,,,,,,,,,
December,,,,,,,,5.4,8.15,4.3,0.4,,,,,,,,,
Total,,,,,,,,39.5,52.8,39.53,48.6,,,,,,,,,
