SHAP COPY HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY559144,Long,-2.6814,Lat,54.5231,Elevation,852,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,10.9,4.15,12.81,4.74,1.5,2.17,0.51,5.39,13.09,9.68,5.03,7.46,7.39,2.89,3.13,12.47,6.5,,,,,,,,
February,,,,,,1.59,7.05,4.66,2.99,4.3,8.13,5.5,7.29,7.97,7.45,12.89,1.7,4.24,1.25,1.94,1.16,0.15,,,,,,,,
March,,,,,,2.29,5.34,1.98,2.16,5.36,2.79,5.36,5.67,3.67,5.31,4.88,5.97,1.53,4.68,2.67,2.99,,,,,,,,,
April,,,,,,1.55,2.83,3.01,2.92,1.98,4.02,1.11,5.72,2.08,2.01,3.7,4.87,3.51,2.77,3.17,1.65,,,,,,,,,
May,,,,,,2.71,0.86,4.36,5.62,0.97,1.12,4.5,3.15,2.95,4.22,3.1,5.08,1.53,3.45,2.85,3.4,,,,,,,,,
June,,,,,,4.24,4.53,4.42,2.63,6.19,2.85,4.7,4.25,4.27,0.64,1.43,1.63,0.28,1.5,2.31,3.06,,,,,,,,,
July,,,,,1.82,3.27,2.1,5.78,0.73,5.19,3.96,5.45,8.69,3.65,5.77,2.88,7.59,2.96,6.6,3.46,4.07,,,,,,,,,
August,,,,,6.52,2.83,4.01,6.18,3.99,5.66,1.12,6.22,3.42,3.5,0.86,3.21,2.32,1.69,3.08,4.73,5.71,,,,,,,,,
September,,,,,6.56,5.77,4.73,4.49,5.88,4.95,4.57,2.69,2.5,4.75,5.4,6.77,7.81,5.19,0.69,1.12,3,,,,,,,,,
October,,,,,14.82,4.72,5.05,8.77,6.62,1.85,1.59,2.81,4.17,7,2.4,6.13,7.04,2.1,9.5,7.05,2.3,,,,,,,,,
November,,,,,2.94,3.84,4.01,13.12,3.34,1.4,10.88,12.31,6.88,8.39,4.39,3.65,6.38,3.78,8.27,2.78,8.16,,,,,,,,,
December,,,,,3.48,7.14,10.55,5.43,3.71,5.3,5.65,7.96,5.7,3.95,9.92,3.56,8.02,5.43,8.12,4.34,0.44,,,,,,,,,
Total,,,,,,50.85,55.21,75.01,45.33,44.65,48.85,59.12,62.83,65.27,58.05,57.23,65.87,39.63,52.8,39.55,48.41,,,,,,,,,
