HELENSLEA-CHILDS-HILL-2ND-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ252871,Long,-0.1949522,Lat,51.568881,Elevation,245,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,2.16,2.05,1.38,3.2,1.42,0.79,0.88,2.25,2.27,0.61,1.73,3.13,2.23,0.76,2.09,0.86,2.37,3.11,0.65,0.88,1.95,2.84,1.2,,,,
February,,,,3.35,1.4,2.96,0.65,0.52,0.64,2.03,1.14,0,1.47,3.04,1.87,0.15,0.28,2.74,1.09,2.11,3.95,1.21,1.26,0.74,2.67,0.76,,,,
March,,,,0.73,1.53,1.56,1.59,1.43,3.77,1.45,1.76,1.48,1.08,0.39,1.34,1.76,3.33,3.37,1.37,0.48,0.87,2.05,1.75,2.29,1.96,3.31,,,,
April,,,,1.57,1.12,2.44,0.98,1.18,2.09,2.04,1.65,1.07,1.07,0.11,2.1,1.4,0.41,1.91,1.01,2.51,1.12,2.42,0.44,1.94,0.97,1.89,,,,
May,,,,1.72,1.01,2.32,4.68,1.49,1.07,4.31,1.34,2.92,1.46,0.95,1.62,0.49,0.18,1.29,2.39,1.43,1.03,1.04,2.45,2.57,2.01,1.07,,,,
June,,,,1.9,2.9,2.68,0.63,0.9,2.68,2.51,2.7,0.85,2.52,0.7,1.89,0.36,1.54,1.85,1.15,2.07,2.66,1.27,3.23,6.01,0.69,3.8,,,,
July,,,,2.15,1.86,0.32,3.01,1.37,5.23,2.96,5.39,4.05,1.76,1.8,2.88,4.62,1.09,0.73,0.72,1.53,1.38,3.95,1.04,3.88,2.82,0.84,,,,
August,,,,1.56,0.77,1.13,0.74,1.86,3.62,2.14,1.52,5.05,3.14,1.29,2.96,2.33,1.79,2.46,1.17,0.59,2.94,1.75,4.55,4,1.91,2.2,,,,
September,,,,3.6,1.58,4.48,1.85,2.15,1.56,1.59,0.75,1.44,2.22,0.98,1.35,1.37,6.04,2.69,0.37,2.67,1.04,1.94,0.87,3.18,1.35,1.76,,,,
October,,,,1.69,1.05,3.72,2.49,1.32,1.19,3.82,1.29,5.8,3.92,3.8,4.12,2.93,3,0.66,3.41,2.53,1.87,2.26,1.41,5.48,1.49,1.56,,,,
November,,,,2.75,2.06,3.28,2.77,3.08,4.48,0.91,1.78,2.14,2.81,2.19,3.1,3.43,1.13,1.07,1.96,4.13,2.47,0.53,1.89,1.74,1.81,3.12,,,,
December,,,,0.85,2.83,1.09,3.79,1.3,1.2,1.18,0.59,3.51,1.44,2.05,2.54,2.3,3.74,2.34,2.32,1.18,2.78,3.41,1.38,1.44,1.94,0.79,,,,
Total,,,,24.03,20.16,27.36,26.38,18.02,28.32,25.82,22.16,30.58,23.5,19.03,28.9,23.37,23.29,23.2,17.82,23.6,25.22,22.48,21.15,35.22,22.46,22.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Helenslea, which is  NW of Hampstead. Not sure what the NW in the 1880 and 1890 record refers to, maybe location in the grounds because Helenslea is NE of Childs Hill. There are two gauges at this location and the only distinguishing feature is the the mounted height, which is not always consistent but the 2nd gauge is consistently at 1.6, whereas the 1st gauge is at 1, 1.1 and 1.6. therefore, it is possibe that the readngs have not been combined correctly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
