HELENSLEA-CHILDS-HILL-1ST-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ252871,Long,-0.1949522,Lat,51.568881,Elevation,245,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,1.38,2.95,1.07,4.89,1.44,2.68,0.41,1.34,1.2,2.3,2.29,1.54,3.64,1.56,0.94,1.03,2.67,,,,,,,,,
February,,,,,1.12,1.04,1.91,1.84,1.57,3.79,2.11,3.41,1.23,3.62,1.51,3.25,0.74,0.55,0.78,2.11,1.27,,,,,,,,,
March,,,,,0.54,0.81,2.98,2.55,1.05,1.25,0.87,2.31,1.1,0.89,1.61,1.66,1.64,1.46,4.07,1.64,2.04,,,,,,,,,
April,,,,,1.29,1.39,1.66,2.79,4.8,2.9,2.17,0.74,3.26,1.65,1.22,2.59,1.1,1.26,2.15,2.24,1.78,,,,,,,,,
May,,,,,1.46,1.91,0.71,2.36,4.14,3.51,0.35,1.07,1.53,1.89,1.13,2.5,4.91,1.69,1.16,4.5,1.48,,,,,,,,,
June,,,,,2.45,2.56,1.65,0.79,2.93,4.79,2.84,1.72,2.63,2.25,3.05,2.88,0.73,1.01,2.91,2.68,3.07,,,,,,,,,
July,,,,,1.12,5.11,0.9,3.89,0.88,4.29,4.7,2.29,2.33,2.29,2.13,0.38,3.05,1.54,5.43,3.11,5.88,,,,,,,,,
August,,,,,1.38,1.13,2.12,3.29,5.85,5.24,0.56,4.39,1.38,1.65,0.85,1.21,0.82,1.93,3.75,2.3,1.84,,,,,,,,,
September,,,,,1.6,2.32,4.04,0.96,1.52,3.31,4.17,2.21,3.1,3.71,1.75,4.75,1.98,2.53,1.7,1.75,0.84,,,,,,,,,
October,,,,,5.05,4.04,1.28,1.84,1.54,0.8,5.65,2.95,5.98,1.87,1.17,3.93,2.59,1.43,1.3,4.14,1.42,,,,,,,,,
November,,,,,1.87,3.6,3.07,3.69,2.96,0.63,1.94,2.35,2.67,2.87,2.29,3.42,2.88,3.16,4.66,1.1,2.04,,,,,,,,,
December,,,,,1.8,0.93,6.55,1.87,1.37,0.76,3.34,2.8,2.59,0.91,3.15,1.17,3.8,1.47,1.27,1.36,0.64,,,,,,,,,
Total,,,,,21.06,27.79,27.94,30.76,30.05,33.95,29.11,27.58,29,25.9,22.15,29.28,27.88,19.59,30.12,27.96,24.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Helenslea, which is  NW of Hampstead. Not sure what the NW in the 1880 and 1890 record refers to, maybe location in the grounds because Helenslea is NE of Childs Hill. There are two gauges at this location and the only distinguishing feature is the the mounted height, which is not always consistent but the 2nd gauge is consistently at 1.6, whereas the 1st gauge is at 1, 1.1 and 1.6. therefore, it is possibe that the readngs have not been combined correctly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
