"PRESTONKIRK SMEATON",,,,,,,,,,,,
Grid ref,NT592786,Long,-2.655725,Lat,55.998606,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.15,1.59,1.36,2.77,1.92,0.66,1.83,0.41,1.73,1.00,,
February,2.93,1.45,0.71,4.17,3.08,0.76,0.49,1.00,0.61,1.36,,
March,1.54,1.49,0.98,1.75,1.54,1.82,1.67,1.40,2.86,4.56,,
April,0.87,0.90,1.02,0.92,0.79,1.74,1.02,1.62,1.94,2.15,,
May,0.77,1.77,2.33,0.63,3.24,0.81,6.29,2.59,2.68,1.92,,
June,2.05,1.06,2.71,1.58,2.13,0.46,1.82,2.84,0.72,1.18,,
July,2.90,1.12,3.03,4.74,1.26,2.37,1.14,2.50,2.15,2.84,,
August,4.39,4.82,1.60,3.83,4.39,2.90,5.56,3.50,1.65,2.30,,
September,1.48,1.21,0.88,2.27,1.11,2.06,0.93,1.41,2.95,2.38,,
October,5.42,1.57,1.10,5.73,0.47,2.52,6.14,7.53,1.03,2.04,,
November,4.04,3.03,1.42,1.61,1.48,3.59,3.94,1.84,1.49,0.70,,
December,2.63,3.33,3.42,0.76,1.60,0.76,2.86,3.75,0.50,2.93,,
Total,32.17,23.34,20.56,30.76,23.01,20.45,33.69,30.39,20.31,25.36,,
Calc annual,32.17,23.34,20.56,30.76,23.01,20.45,33.69,30.39,20.31,25.36,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
