"CASTON RECTORY",,,,,,,,,,,,
Grid ref,TL959977,Long,0.887393,Lat,52.541902,,,,,,,
Station no,RR4412,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.69,1.21,3.88,1.67,1.01,0.61,,
February,,,,,3.00,1.24,2.70,1.52,2.15,0.46,,
March,,,,,1.79,2.11,2.08,1.19,2.43,2.69,,
April,,,,,0.89,2.15,0.68,3.22,3.05,1.20,,
May,,,,,2.04,1.08,0.99,2.24,1.61,1.61,,
June,,,,,0.89,3.00,2.98,2.26,1.02,3.90,,
July,,,,,2.38,0.64,0.74,2.00,3.51,3.39,,
August,,,,,1.94,2.94,2.20,1.65,3.17,2.43,,
September,,,,,2.14,3.36,1.11,0.59,1.62,1.71,,
October,,,,,1.20,2.94,3.94,2.85,1.60,3.98,,
November,,,,,1.74,2.12,3.38,2.58,1.34,1.00,,
December,,,,,2.17,0.96,2.33,2.85,1.99,4.59,,
Total,,,,,21.87,23.75,27.01,24.62,24.50,27.57,,
Calc annual,0.00,0.00,0.00,0.00,21.87,23.75,27.01,24.62,24.50,27.57,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
