INNERLEITHEN,,,,,,,,,,,,,,,,,,,,
Grid ref,NT331366,Long,-3.0637768,Lat,55.618367,Elevation,474,ft,,,,,,,,,,,,
Station no,RR4625,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,5.94,2.8,4.24,2.13,3.04,1.1,5.24,,,,,,,,,
February,,,,,3,4.4,1.8,0.7,3.36,3.8,1.11,,,,,,,,,
March,,,,,5.28,1.62,8.56,3.07,4.38,1.12,1.94,,,,,,,,,
April,,,,,1.66,3.15,2.1,1.32,2.1,3.7,1.92,,,,,,,,,
May,,,,,2.65,3.47,3.4,2.43,1.07,1.2,1.58,,,,,,,,,
June,,,,,0.33,0.56,1.11,1.54,2.75,1.07,3.62,,,,,,,,,
July,,,,,7.82,1.44,3.73,0.84,4.05,3.84,2.22,,,,,,,,,
August,,,,,2.29,2.09,1,3.03,2.44,4.24,5.02,,,,,,,,,
September,,,,,2.45,3.62,2.87,3.15,0.65,1.88,2.9,,,,,,,,,
October,,,,,2.09,3.73,4.76,2.22,1.81,4.5,2.44,,,,,,,,,
November,,,,,2.66,2.58,4.45,4.05,8.92,1.32,5.31,,,,,,,,,
December,,,,,3.06,1.17,3.36,3.72,2.05,3.31,1.55,,,,,,,,,
Total,,,,,39.23,30.63,41.38,28.2,36.62,31.08,34.85,,,,,,,,,
