LOCH LOMOND CAMERON HOUSE,,,,,,,,,,
Grid ref,NS 37533 83150,Long,-4.607745,Lat,56.013653,Elevation,40,ft,,
Station no,RR8552,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,8,11.3,11,8,8,5.1,11.7,6,0.5
February,,6,6.2,1.3,2.4,1.7,7.3,7.6,3.4,0.9
March,,6,5.8,2.3,7.5,2.2,10,3.9,3,2.4
April,,7,2,0.2,2.3,2.2,2.4,5.1,2.7,1.3
May,,1.3,3.2,3,2,4.4,1,3.4,5,2.4
June,,2.3,9.4,3.1,1.2,4.2,4.4,4.7,4.2,3.7
July,,6,8.1,7.5,3,1.4,3.8,5.4,0.8,4.4
August,,6.3,6.9,7,7,5.6,6.6,9,3.8,4.7
September,,2.5,12,7.1,7.6,5.2,3.4,2.1,6.2,8.7
October,,5.3,5.4,10.2,11.7,7.5,8.5,8.9,8.9,3.3
November,,4.1,10.3,5.4,6.8,6.1,4,8.2,2.2,1.4
December,,7.6,9.5,6.3,4,6.3,9,8.8,2,5.1
Total,,62.4,90.1,64.4,63.5,54.8,65.5,78.8,48.2,38.8
,,,,,,,,,,
Station no,RR8552,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
